"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
10519.1,62813.7,10975,3385.2,63277.9,3506,10015.8,32,0.645368
13964.7,63524.1,14407,4429.75,61571.2,4715,12186.2,3.2,0.646566
14407.8,71445.9,13216,8722.35,68376.5,8360,10632.7,2.56,0.64896
17003.2,66686,16710,5983.25,63347.1,6190,10231,-4.48,0.64896
14126.4,63878.1,14493,5276.7,64325.5,5376,12013.9,36.48,0.654947
13213,73740.1,11743,8217.3,68393.3,7874,19952.4,0.64,0.657342
12596.5,64716.5,12756,4806.75,65301.7,4824,9928.1,10.88,0.657342
12481.4,70643.8,11579,8773.05,67371.8,8534,10236.2,-6.4,0.662131
12388.8,63624.6,12761,6132.75,65034.9,6180,12456.6,-8.32,0.662131
11574.6,71366.5,10629,8465.6,86512,6413,8213.4,40.32,0.663329
11376.4,64556.5,11549,3147.3,62033.5,3325,8112,20.48,0.668118
12586.5,69433.2,11880,7796.1,66936.4,7633,9909.25,13.44,0.669315
15869.8,72180.2,14409,9792.25,69724.6,9204,16563.3,25.6,0.669315
15966.6,73513.1,14234,9053.85,71947.7,8247,16562,-37.12,0.67171
13558.8,69220.9,12837,5973.5,67765.2,5777,9488.05,-16.64,0.674105
17972.6,67521.8,17444,7263.1,68155,6984,11497.8,39.68,0.675302
10568.1,63123.4,10972,4218.5,62761.3,4405,13072.8,24.32,0.676499
11920.9,71727.1,10892,7438.6,68729.2,7093,7227.35,0.64,0.677697
10735,63421.3,11093,3211.65,62033.2,3393,11263.8,-7.04,0.680091
8676.54,64521.2,8813,6915.35,65719.9,6896,10678.2,-16.64,0.683683
12442.5,65501.8,12449,6751.55,66267.7,6677,8432.45,0.64,0.683683
13479.7,70979.2,12446,7363.2,69905.1,6903,10877.8,-28.8,0.684881
15771.3,70803.3,14598,12708.8,67374.5,12362,6767.15,21.76,0.687276
25252,72298.6,22890,14278.5,69661.2,13433,7617.35,10.24,0.688473
11923.3,69010.5,11323,5643.3,68311.6,5414,9530.3,-23.68,0.690868
11181.1,68655.9,10673,8615.75,74599.3,7569,8999.9,-2.56,0.690868
12654.3,64010,12956,4002.7,63042.8,4161,10518.3,-15.36,0.692065
17831,74242.1,15740,9685.65,70177.9,9045,25483.9,2.56,0.695657
15896.4,65653.2,15868,5876.65,65812.1,5852,11912.5,-17.92,0.695657
19288.3,66470.9,19017,7321.6,63503,7556,7441.85,-2.56,0.696854
13583.6,73589.6,12097,8273.2,70921.2,7645,15102.1,-2.56,0.699249
6559.03,65476.4,6565,4111.9,64887.4,4153,10399.3,0,0.701644
10125.6,62414.4,10632,3487.9,61381,3724,7590.05,30.08,0.701644
12244.9,71141.8,11280,7378.15,69996.3,6908,8705.45,9.6,0.704038
12472,63489.6,12874,4076.8,62497.6,4275,11644.8,9.6,0.705236
7434.59,63342.9,7692,3765.45,63650.4,3877,8050.25,-17.28,0.706433
16538.3,75831.1,14293,9383.4,71331.7,8621,9484.15,9.6,0.706433
21789.9,72089.5,19809,10820.5,70595.9,10045,10380.5,23.04,0.71242
16097.6,64841.4,16270,6858.8,64518.2,6967,12839.4,0.64,0.716012
8929.65,73005.7,8016,5768.1,71703,5272,14181,-28.16,0.716012
7339.01,63343.8,7593,3320.85,63487.5,3428,7037.55,30.72,0.723196
12695.6,63508.1,13101,4200.95,62217.7,4425,12946.7,24.32,0.724393
10729.1,73597,9554,6982.95,68983.2,6634,12433.2,11.52,0.727985
16701.7,70088,15617,14723.8,69776.5,13829,10193.3,-1.28,0.73038
12076.7,65779.5,12032,6698.25,64898.9,6764,16296.1,21.76,0.733972
13006,65199.9,13073,7346.95,65022.2,7405,13798.8,-4.48,0.738761
16534.8,65440,16559,7413.25,64864.4,7490,7762.3,14.08,0.739959
21591.6,75649.8,18705,10550.8,71780.1,9633,13204.8,6.4,0.743551
22007.6,69061.9,20884,10426,68273.2,10008,6533.8,-33.28,0.745945
9182.76,64301.9,9359,7059.65,66302.8,6978,7293,26.24,0.747143
14101.6,75300.4,12273,7200.05,71267.6,6621,19568.2,-12.8,0.751932
18665.8,82248.6,14873,10933,74909.1,9565,14848.6,-3.2,0.753129
8606.33,63139.4,8933,3329.3,62250.8,3505,9568,-5.76,0.755524
11936.9,63782.7,12265,4453.15,70904.2,4116,10684,-21.76,0.755524
13191.8,64880.9,13325,4202.9,62600.3,4400,11166.3,0.64,0.757919
11236,65320.7,11273,4119.7,66631,4052,12383.1,-0.64,0.757919
8910.18,63176.2,9243,3189.55,62998.9,3318,11731.8,-21.76,0.757919
15106.4,64349.1,15385,6256.9,64953.6,6313,13032.5,-9.6,0.760314
7990.37,63389,8261,3378.7,62958.9,3517,8077.55,-21.76,0.760314
9716.12,65869,9667,5863.65,66358.2,5791,6607.9,3.2,0.761511
15896.4,72245.8,14420,10246.6,69573.3,9652,13194.3,34.56,0.763906
10594,72647.4,9557,7960.55,69292.4,7529,7892.3,-17.92,0.765103
15077.4,65282.5,15136,6427.2,65527.8,6428,7917.65,24.96,0.7663
14509.9,71213.9,13353,8749,68882.1,8324,16827.8,20.48,0.7663
13870.9,73044.9,12445,7687.55,73570.6,6848,12777.7,-0.64,0.769892
14037.3,65000.2,14153,4668.95,63063.5,4852,8453.25,-23.68,0.769892
18300,73981.3,16211,8908.9,70624.6,8267,13846.3,-11.52,0.777076
13413.6,63775.2,13784,4011.15,62218.9,4225,9969.7,-36.48,0.780668
19160.2,71010.9,17683,12219.3,70699,11327,8987.55,12.8,0.781866
14221.9,65146.4,14307,3188.25,61617.6,3391,10786.8,35.2,0.785458
13046.1,65682.4,13017,5184.4,63913.6,5316,11648,-32.64,0.78905
11925.1,67442.4,11588,7950.8,68309.3,7628,13549.9,-16.64,0.797431
15985.5,66625.7,15724,13346.4,67215.3,13013,7400.25,23.68,0.801023
13719.9,63329,14198,4644.25,61240.6,4970,11791,-1.92,0.803418
9860.08,63221.8,10221,3398.85,61600.4,3616,13442.6,-12.16,0.803418
10544.5,64625.7,10693,4243.85,62290,4465,9807.85,26.24,0.811799
11982.3,66951.4,11729,5285.15,68928.9,5025,6588.4,14.72,0.814194
15760.1,73143,14121,8169.2,69819.6,7668,10374,41.6,0.817786
12691.5,68813.6,12087,8417.5,68180.6,8091,6705.4,13.44,0.818983
12163.4,69704.7,11436,5804.5,69416.7,5480,17676.8,-14.72,0.820181
18307.1,73010.1,16433,7259.85,69144.2,6881,18185,35.84,0.823773
16776.6,66546.1,16522,6487,66065.6,6435,12131.6,22.4,0.827365
11261.3,63688.5,11588,3343.6,60936.1,3596,10854.3,-2.56,0.828562
11827.7,63966.2,12118,5380.7,64702.7,5450,6706.7,-1.92,0.830957
5941.3,63612,6121,3232.45,61510.4,3444,8543.6,-7.68,0.833351
20123.7,79846.7,16517,9807.85,73333.4,8765,14838.8,-8.32,0.834549
8297.17,63132.9,8613,3361.8,61250.7,3597,7662.85,9.6,0.838141
13757,64852.6,13902,5385.9,62884.4,5613,10058.1,-32.64,0.840536
11234.8,66260.1,11112,5309.85,67439.2,5160,14261.6,-15.36,0.84293
20222.8,67125.4,19744,10663.2,66707.4,10476,6875.05,-17.28,0.846522
9412.86,66994,9208,6129.5,67660.9,5937,8577.4,0.64,0.848917
15322.9,69217,14508,10323.9,75310.6,8984,7529.6,10.88,0.848917
16014.4,64865.1,16180,5288.4,63616.1,5448,12911.6,36.48,0.850114
10620,65678.2,10597,3165.5,63538.8,3265,10032.1,21.76,0.850114
18387.3,66757.1,18051,8451.95,66969.8,8271,6654.7,8.96,0.854904
14886.3,67300.5,14496,6895.85,68807.3,6568,15978.3,-4.48,0.856101
12974.1,63429.4,13405,3672.5,61697.2,3901,10234.9,14.08,0.858496
12411.8,65324.6,12452,5727.15,67749.9,5540,12253.1,-13.44,0.858496
9890.76,69639.1,9308,6243.25,68318.2,5989,7495.8,5.12,0.863285
10716.8,65534.5,10717,4366.7,63878.6,4480,10411,-32.64,0.863285
15440.3,69810,14495,6325.8,68342.8,6066,16446.9,-0.64,0.863285
8542.61,63518.1,8814,2850.25,61384.8,3043,10329.8,-14.08,0.869272
15150,64052.1,15501,4782.7,64653.3,4848,13452.4,3.2,0.870469
11541,64381.2,11748,3772.6,62561,3952,9205.3,31.36,0.871666
13562.3,65010.3,13672,4124.25,62263.7,4341,12344.8,19.2,0.871666
14473.3,64455.1,14716,4960.15,65314.1,4977,9131.2,-20.48,0.875259
12482,68471,11947,6056.05,68077.1,5830,7559.5,-25.6,0.876456
13998.3,65453.4,14016,8144.5,68961,7740,7031.05,2.56,0.878851
9799.31,63787,10068,3168.75,62027.2,3348,7842.9,14.08,0.878851
20302.5,71304.6,18660,10102.9,70406.9,9404,7319.65,-6.4,0.886035
18369.6,66523.4,18097,8043.1,78287.9,6733,13589.5,20.48,0.887232
21777.5,83243.5,17145,15417.3,119545,8452,13363.3,10.88,0.892021
16178.4,65529.5,16180,5316.35,63393.8,5496,9842.95,-25.6,0.896811
15368.9,69520.8,14488,8680.75,99580.2,5713,11673.3,-18.56,0.903995
15727.6,70395.2,14642,9954.1,69031.9,9450,6947.85,12.16,0.906389
17879.9,66079.1,17733,8704.15,73386.7,7773,13164.4,81.92,0.906389
10040,74365.2,8848,6782.1,70105.9,6340,11521.9,-11.52,0.907587
12201.2,65774.3,12157,4250.35,63350.2,4397,8592.35,24.32,0.908784
11010.6,66987.5,10772,6583.85,67545.3,6388,19509.8,10.24,0.914771
11956.9,64675.6,12116,5447.65,71517.9,4992,9192.95,3.84,0.91956
16251.5,65614.9,16232,7022.6,63876.9,7205,12745.8,1.28,0.92435
10074.2,69003.6,9568,6267.3,70963,5788,10569,4.48,0.926744
15984.3,66300.4,15800,5306.6,64058.4,5429,12691.9,-1.28,0.929139
12089.1,72919.6,10865,7999.55,70379.7,7449,6897.15,33.92,0.932731
10566.9,74777.3,9261,8882.9,69196.4,8413,20303.4,3.84,0.933928
14013.1,65611.3,13997,5855.2,63520.3,6041,7991.1,17.92,0.933928
27633.2,79175.1,22873,18058.9,73146.6,16180,27508.6,-3.84,0.933928
12682.6,64531.8,12880,4612.4,65202.4,4636,15855.4,16.64,0.935126
11971.1,70368.5,11149,7332.65,68415.8,7024,17010.5,8.96,0.93752
15275.7,64371.6,15552,6087.25,63727.5,6260,11738.3,32,0.944704
