"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
25689.6,67693,24871,14026.8,72881.8,12613,10397.9,1066.92,0.662622
10682.2,62200.9,11255,2534.7,54267.9,3061,8243.1,445.4,0.682702
21898.9,70371.9,20394,10489.5,67369.9,10204,6718.02,493,0.689788
16245.1,64842,16419,6041.39,59191,6689,9499.09,775.2,0.696875
18833.9,69663.6,17718,9578.61,66442,9448,8138.02,607.92,0.706324
7111.68,61430.2,7587,1950.37,52192.5,2449,9543.11,524.96,0.716955
6179.84,62012.2,6531,1914.87,60420.3,2077,6565.37,406.64,0.720498
11686.4,63664.2,12030,4911.07,60170.5,5349,9971.24,923.44,0.722861
9329.92,62031.6,9857,2405.48,53204.7,2963,7505.41,461.72,0.728766
10361,63495,10694,3473.32,57192.8,3980,9266.21,658.92,0.741759
13986.6,72782.5,12594,8100.39,65249.2,8136,8680.46,600.44,0.750027
20585.6,77739.9,17354,10079.2,68521.6,9640,11753.3,1085.28,0.759476
15497.6,64224.8,15814,4820.9,60294.4,5240,9357.8,614.72,0.764201
18750.1,73709.1,16671,12160.9,66326.2,12016,8151.51,560.32,0.768925
11073.3,64260.9,11293,4720.08,57938.8,5339,7797.93,777.24,0.78428
15283.8,73230.1,13678,8294.93,63827.2,8517,9823.56,1011.16,0.789005
17853.4,75535.4,15490,11513.4,67586.8,11164,9758.95,899.64,0.797273
12930.6,63946.4,13252,5332.81,66722.2,5238,9014.16,813.96,0.812628
14491.5,75141.7,12639,14753.8,66262.7,14592,15825.9,1344.36,0.816171
14408.3,66694.7,14158,5180.87,68165.7,4981,6456.03,709.24,0.833888
11468.2,63596,11818,5278.14,61935.2,5585,11379.9,928.2,0.838613
7713.28,62176.8,8130,1721.75,52433.4,2152,7776.63,503.88,0.8457
17160.3,76193.7,14760,9883.2,66953.2,9674,11287.6,835.72,0.8457
8648.32,68154.9,8316,4473.71,60954.1,4810,7951.29,782,0.862236
7712,66266.4,7627,4703.04,61891.2,4980,8405.69,620.16,0.872866
11863,64788,12000,5882.35,66673.4,5782,11340.8,1058.08,0.874047
18345,68054.8,17666,8730.87,63604.5,8996,8231.03,1331.44,0.879953
37037.4,79766.2,30430,19691.8,77742.5,16600,13759.8,1189.32,0.881134
22463.4,67620.2,21771,10271.6,65815.2,10228,8424.86,976.48,0.882315
13566.1,70746.1,12567,7272.53,64503,7389,9352.12,909.16,0.885858
12105.6,64721.2,12258,6096.06,59699.8,6692,7271.82,646.68,0.905938
9601.92,62458.7,10075,2884.02,55136.3,3428,9914.44,553.52,0.907119
11267.2,64371.7,11471,3970.32,67883.9,3833,7462.1,700.4,0.9083
10693.8,64598.2,10849,5207.85,60056.6,5683,9563.7,816.68,0.915387
12913.9,65622,12897,5359.08,64148.4,5475,10064.2,761.6,0.924836
12720,63927.8,13040,5312.93,57857.8,6018,11509.8,741.2,0.927199
10048.6,63212.5,10418,5189.39,73804.7,4608,9376.26,716.04,0.942553
13411.8,62430.4,14079,4124.39,56689.6,4768,11436.7,697,0.946097
23776.6,76144.7,20464,11900.3,69029.8,11298,7622.56,775.88,0.947278
13638.4,64516.1,13854,5165.25,58394,5797,10774.2,787.44,0.954365
21146.9,70029.4,19790,9499.09,65716.5,9473,9039.01,681.36,0.954365
16599,76965.8,14134,8305.58,65234.2,8344,8533.49,1044.48,0.957908
8088.96,61785.3,8580,2249.28,51941.1,2838,9351.41,475.32,0.964995
9593.6,74723.8,8414,6402.07,80670.3,5201,10981.6,1065.56,0.970901
15468.8,62954.9,16103,4686.71,57250.4,5365,9193.08,721.48,0.992162
5892.48,61511.6,6278,1560.58,50530.7,2024,6637.79,435.88,0.993343
9407.36,61486.1,10027,2467.96,52581.3,3076,7229.93,537.2,1.00752
17069.4,71166.3,15719,10058.6,64093.2,10285,10233.9,839.12,1.02523
7098.24,67233.8,6919,3821.93,60022.5,4173,11574.4,916.64,1.02878
8369.28,65553.9,8367,5012.6,61471.9,5344,7002.73,552.84,1.03114
5064.96,60805.5,5459,2036.99,51883.5,2573,7547.3,490.96,1.03468
13815,70628.2,12819,9354.96,64966.3,9437,7066.63,588.88,1.05594
35341.4,73374.4,31566,15050.6,67172.1,14684,16652.3,1402.84,1.05831
12990.7,69566.9,12238,5849.69,65331.5,5868,8909.08,845.92,1.05831
15580.8,63085.6,16186,2807.34,52807.6,3484,10820.4,602.48,1.07248
11296.6,66469.4,11138,4781.14,61826.5,5068,10456.2,736.44,1.09138
36477.4,69794,34252,18665.9,64909.7,18846,16081.5,1281.8,1.09138
10085.1,70500.1,9375,6456.03,63749,6637,10020.9,874.48,1.09728
12039.7,68929.2,11447,7249.81,66796.5,7113,7454.29,1345.72,1.10673
16995.2,73440.4,15166,8199.79,66996.8,8021,8224.64,765.68,1.12327
8537.6,63552.9,8804,2218.04,51510.1,2822,9646.06,489.6,1.13508
13353,64236.9,13623,3014.66,53267.4,3709,9963.43,623.56,1.13626
12252.2,63550.3,12635,3572.01,55042.4,4253,9189.53,594.32,1.14335
7356.16,63043.5,7647,1570.52,49483.5,2080,8433.38,614.04,1.14453
20817.3,73250,18625,14846.1,68464.9,14211,6918.24,631.72,1.15162
16058.2,71256.9,14769,9046.82,64284.1,9223,9536.01,643.96,1.15634
8755.2,72722.5,7890,6162.8,62559.7,6456,8547.69,796.96,1.16579
19671,73864.7,17453,10880.8,65837,10831,7477.01,512.72,1.16697
17665.3,66401.6,17435,7621.85,82685.9,6041,6336.75,571.2,1.1776
26698.2,78928.9,22168,18143.3,71259.9,16686,22432.4,1917.6,1.19177
25260.8,82280.9,20120,16065.9,70787.5,14874,16318.6,1292.68,1.19296
11013.1,63523.7,11362,3018.92,53646.4,3688,11216.6,700.4,1.20122
27854.7,75399.1,24211,20067.4,67941.3,19357,10144.5,656.88,1.20359
9665.28,70146.6,9030,4317.51,61192.1,4624,16171,1062.16,1.20359
6974.72,63893.7,7154,2036.99,51108.8,2612,6299.83,498.44,1.20595
6221.44,61852,6592,1886.47,49492.3,2498,6898.36,469.88,1.21658
12959.4,67378.4,12605,9916.57,104233,6235,6635.66,624.92,1.24138
30005.8,75601,26011,14887.3,72227.8,13508,8804.71,731,1.26264
7573.76,61674.2,8048,2173.31,51123.5,2786,9697.18,480.08,1.26501
21061.1,73692.6,18730,8483.08,65183.2,8529,17865,1505.52,1.26737
12535.7,70198.9,11703,6443.96,64015.7,6597,12441.3,1229.44,1.26737
7768.96,63028.8,8078,2108.7,52327.1,2641,9294.61,560.32,1.27682
14571.5,63414.5,15059,4280.59,57007.3,4921,12343.3,675.24,1.278
8544.64,63583.7,8807,2497.78,52651.8,3109,6991.37,526.32,1.28036
15194.9,71073.6,14011,9465.01,65130.1,9524,11551.7,737.8,1.2969
15722.9,75168.9,13708,9763.21,66359.9,9642,15575.3,1457.92,1.2969
15012.5,68181.4,14430,6710.92,63436.7,6933,8936.77,909.16,1.29808
8088.96,62654.3,8461,1863.04,49331.8,2475,7261.17,469.88,1.30871
15464.3,67340.2,15050,6147.18,61969.2,6501,8378,746.64,1.32997
9364.48,63452.3,9672,2068.23,52988.1,2558,8232.45,531.08,1.33233
12164.5,65121,12242,4492.17,75719.9,3888,10055.7,673.88,1.33233
14560,66844.4,14275,3732.47,58449.5,4185,8314.1,692.92,1.36186
12864.6,63798.5,13215,3695.55,54881.4,4413,8031.52,550.12,1.37958
15792,68548.4,15098,10143.8,64711.6,10273,7437.96,378.76,1.38076
9872,67322.7,9610,4945.15,60554.1,5352,7056.69,754.8,1.39966
16064.6,67857.7,15515,6962.26,63398.5,7197,6371.54,551.48,1.41029
10178.6,61891.1,10778,2493.52,50987.6,3205,7700.66,524.28,1.41501
13083.5,64551.8,13283,5626.04,61646.6,5981,6956.58,995.52,1.41501
13174.4,71716.7,12039,5704.85,62053.6,6025,8682.59,942.48,1.41619
15178.9,65277.5,15239,5171.64,55735.7,6081,7763.85,743.92,1.42328
11736.3,68809.4,11178,4738.54,59162.7,5249,6470.23,743.92,1.42328
10702.1,65548.7,10700,3547.87,58157.4,3998,6611.52,580.04,1.43155
17467.5,69286.5,16522,8719.51,62187.6,9189,8069.15,605.88,1.44454
17653.1,71653.4,16146,10611.7,63662.2,10924,6545.49,515.44,1.44572
9389.44,62421,9858,1723.88,46150.4,2448,7242.71,556.92,1.44926
11689.6,63021.5,12156,2710.07,50256.7,3534,8955.94,607.92,1.45163
7831.68,64944.6,7903,2807.34,52506.2,3504,9634.7,545.36,1.45635
15683.2,65927.8,15590,5396.71,56898.1,6216,9752.56,949.28,1.45635
22474.2,69771.3,21110,10558.4,65900.6,10500,7792.25,606.56,1.46344
22231,72232.7,20170,9660.97,64944.2,9749,6970.07,648.04,1.49415
7340.8,63585.3,7566,1863.04,49133.3,2485,7562.21,512.04,1.49533
17611.5,72417.4,15938,8554.08,65216.4,8596,9308.81,784.72,1.49651
19821.4,67548.1,19231,9533.88,68872.6,9072,8870.03,969,1.50714
9144.32,67861.2,8831,12939,121835,6960,9149.77,743.92,1.51777
12255.4,70213.1,11439,5491.85,63398.6,5677,9195.92,902.36,1.53431
18309.8,70722.5,16967,14604,88973.4,10757,9371.29,630.36,1.54258
7110.4,61884.1,7530,1528.63,47773.1,2097,6842.27,502.52,1.54612
12656.6,63424.5,13078,4986.33,65724.9,4972,6639.21,603.84,1.55557
6376.32,62156.6,6723,1972.38,50316,2569,7726.93,446.08,1.55557
19309.4,81970.7,15438,14584.8,92466.9,10337,14569.2,1281.12,1.56265
11383.7,74589.2,10002,7805.03,64357.1,7948,10562,1116.56,1.5662
22844.2,73337.7,20414,13561.7,68977.9,12885,7279.63,578.68,1.57565
9497.6,68891.5,9035,5885.9,73001.2,5284,7046.04,849.32,1.57565
13598.1,68980.9,12919,6488.69,63346.2,6713,12011.1,1074.4,1.591
9786.24,62883.7,10199,3469.77,55126,4125,6957.29,588.2,1.59336
7657.6,66540.5,7542,5530.19,68745.5,5272,12842.5,979.88,1.60754
12861.4,62944.3,13391,3823.35,64829.8,3865,9291.77,690.2,1.61344
9441.28,62733.8,9863,2383.47,51637.4,3025,9719.19,483.48,1.61581
19580.8,76974.8,16671,12482.5,81027.5,10096,10275.1,868.36,1.62526
9721.6,63514.6,10031,4659.73,58189.8,5248,10477.5,884.68,1.63943
11114.2,64578.7,11279,3378.18,54262.8,4080,7959.81,584.12,1.64652
13613.4,63283.5,14098,4464.48,61519,4756,6507.15,620.16,1.64888
11934.1,66489.2,11763,5635.98,62592.7,5901,7034.68,640.56,1.68786
11440.6,62361.6,12023,3534.38,54565.2,4245,10354.6,625.6,1.68786
9697.92,71355.4,8907,5883.77,64052.9,6020,7722.67,757.52,1.69967
11551.4,65407.8,11574,4708.72,61276.9,5036,11498.4,861.56,1.70321
