"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
8812.16,62862.1,9187,5169.51,64298.5,5269,12510.9,584.12,0.54846
11557.1,62148.8,12187,3784.3,61448.9,4036,7244.84,308.72,0.552753
22877.4,70116.2,21383,10591.1,68471.6,10137,13343.7,892.16,0.557046
9677.44,70934,8941,6208.24,67462,6031,10277.2,512.72,0.565633
9036.8,65324.9,9066,3787.14,66362,3740,7634.63,408,0.565633
27303,69819.4,25628,12792.8,67124.7,12490,7908.69,316.2,0.565633
9298.56,62797.9,9704,4069.01,61529,4334,10772.8,367.2,0.567779
8937.6,65628.5,8925,6000.92,66263.9,5935,13561,617.44,0.572073
11923.2,68870,11346,5915.01,67159.8,5772,16533.1,772.48,0.576366
23002.9,71490.3,21087,13404.8,70302.2,12496,9146.93,478.72,0.591392
6312.32,64810.3,6383,4311.12,65446.7,4317,7834.85,386.92,0.592465
17071.4,66436.4,16840,7012.67,65899.4,6974,8331.14,545.36,0.593539
4805.76,62243.1,5060,2188.93,60940.4,2354,8838.79,239.36,0.596759
9701.76,62567.9,10162,3135.36,61668.4,3332,7644.57,361.76,0.597832
24371.8,75351.9,21197,14986,70478.7,13935,7907.98,445.4,0.602125
10457.6,62789.7,10915,3086.37,60905.9,3321,10506.6,354.96,0.613932
17045.8,68876.7,16219,6318.29,68726.2,6025,10009.6,690.2,0.618225
13763.2,64487.4,13987,5280.98,62550.9,5533,6523.48,356.32,0.620371
16471.7,64982.4,16612,6431.18,62962.9,6694,10271.6,563.72,0.622518
22547.8,72368.6,20419,11498.4,67590.1,11149,10894.2,646,0.623591
8558.72,63393.3,8848,2617.77,62203.8,2758,8390.07,395.76,0.626811
23687.7,75945.2,20441,17733,69577.1,16703,13432.5,593.64,0.628958
11210.2,62297.5,11793,6583.83,64179.4,6723,7438.67,555.56,0.632178
15367,72604.3,13871,10055.7,68876.7,9568,12515.2,501.84,0.633251
11895.7,67708.5,11514,8493.73,66896.4,8321,11117.9,400.52,0.642911
13863,63290,14355,4805.28,61399.7,5129,7220.7,456.96,0.647204
16522.2,66724.3,16228,6680.39,66881.5,6546,8728.03,635.12,0.647204
11262.1,65028.3,11350,7180.94,66134.1,7116,6329.65,478.04,0.647204
11591.7,63438.2,11975,3951.86,61767,4193,10412.1,471.92,0.655791
12151.7,64233.9,12398,4078.24,62961.5,4245,8007.38,366.52,0.672963
9320.96,62806.7,9726,2784.62,61883,2949,7276.08,260.44,0.67511
18283.5,72540.8,16518,10968.1,68042.8,10564,8306.29,433.16,0.677257
13470.7,64975.1,13587,4681.74,65714.8,4669,10639.3,646.68,0.677257
24677.1,79420.5,20363,16827,72128.6,15289,14070.1,686.8,0.67833
11528.3,64250.4,11759,4264.26,65663.2,4256,13021.4,671.84,0.679403
13606.4,63480.4,14047,5300.15,62383.4,5568,6488.69,460.36,0.680477
10035.8,62674.7,10494,2908.87,61634.6,3093,9217.93,355.64,0.68155
9734.4,64193.4,9938,5064.43,65541.6,5064,8960.91,618.8,0.69443
