"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
12078.1,63578.2,12450,5839.75,65220.5,5868,12214.8,12486.2,0.647403
18572.2,65175.1,18675,10348.2,65178.6,10405,9261.24,13631.3,0.647403
12631.7,68614.1,12065,7373.35,68883.8,7015,8468.88,10966.4,0.653257
19458.6,71337.9,17876,11939.4,68576.5,11410,7243.42,7281.44,0.653257
15245.4,67898.4,14715,8633.6,67713.2,8356,9615.53,12040.1,0.654427
10557.4,61737.5,11207,2773.97,61898.2,2937,6588.8,6936,0.664964
12400,67233.1,12087,9717.77,66499.3,9577,10920.5,11971.4,0.667305
16812.8,70351.4,15662,11188.9,68575.2,10693,7357.02,7596.28,0.671988
16524.8,78311.5,13829,10541.4,72030,9591,8910.5,13328,0.671988
9846.4,63066.2,10232,3891.51,64046.7,3982,8144.41,8519.72,0.673159
9920.64,67661.5,9609,5369.02,67060.1,5247,7848.34,8560.52,0.680183
9816.96,63317,10161,3755.9,64588.5,3811,8698.92,10341.4,0.690719
18048.6,72327,16354,12681.3,68323.1,12164,9999.64,11846.3,0.690719
9936,63030.3,10331,3785.72,61716.7,4020,6487.98,5960.2,0.693061
9827.84,75313.1,8552,8276.47,68676.5,7898,7251.94,7754.04,0.694232
7290.24,62258.7,7674,2237.21,60963.7,2405,8900.56,6200.24,0.696573
15315.2,74579.9,13458,12447,68479.5,11912,11894.6,10706.6,0.698914
9632.64,69909.7,9030,5997.37,67626.2,5812,8877.13,10234,0.701256
8977.28,62297.2,9444,1574.07,62978.2,1638,7776.63,7023.72,0.705939
15804.2,69855.1,14827,6632.11,68903.3,6308,12153.1,13206.3,0.707109
7480.32,62681.3,7821,2501.33,61465,2667,6588.09,6453.88,0.707109
6962.56,64394.3,7086,2227.98,62909.5,2321,6527.03,5920.76,0.714134
25043.2,76915.9,21338,15579.5,72758.5,14033,19946.7,18765.3,0.716475
11642.2,70581.5,10810,9019.13,67815.2,8716,9323.72,9911.68,0.718817
9973.76,69997.9,9338,6022.93,66585.5,5928,6964.39,8781.52,0.723499
20558.7,73693.4,18283,15830.9,72430.3,14324,8312.68,9698.16,0.72467
7925.12,62253.5,8343,2794.56,62019.7,2953,7011.25,6506.24,0.727012
37185.9,103606,23522,20905.2,114361,11980,9850.54,12811.9,0.727012
10023.7,67534.9,9727,6270.72,66230.1,6205,8414.92,9906.24,0.731694
16243.2,76484.7,13918,9596.36,68233.4,9217,11969.9,12320.2,0.732865
8737.92,67346.6,8503,4468.03,67144.4,4361,7036.81,7957.36,0.735206
32769.9,77268.8,27794,20917.3,71907.1,19064,22612.8,22223.8,0.737548
15318.4,72166.4,13911,7923.6,69080.9,7517,11823.6,15066.8,0.738719
10609.3,62916.5,11051,3428.59,61797.6,3636,8787.67,8486.4,0.739889
23082.9,78483,19275,15440.4,70251.3,14404,8867.19,8657.76,0.744572
18463.4,73948.2,16363,11970.6,69034.3,11364,8170.68,9855.92,0.746914
9162.88,62715.2,9575,2909.58,61889.7,3081,6497.21,6853.04,0.751596
17908.5,66061.6,17766,7939.22,66433.2,7832,8059.21,9143.28,0.752767
17050.9,68029.1,16426,7085.8,69144.6,6716,11239.3,11907.5,0.75745
14973.4,67471.1,14544,6586.67,67195.5,6424,10498.1,12028.5,0.764474
16812.8,64206.3,17161,4513.47,61894.7,4779,7107.81,9657.36,0.767986
10041.6,70648,9315,8027.97,67167.2,7833,9466.43,11515.1,0.767986
9053.44,63736.8,9309,6146.47,64730,6223,7469.91,8506.8,0.771499
9050.24,63050.6,9407,2799.53,61983.1,2960,6609.39,6850.32,0.77384
9023.36,62524.3,9458,3337,61638.6,3548,8486.63,7635.04,0.775011
10636.2,66506.2,10481,4002.98,66264,3959,12946.1,11381.8,0.780864
7159.68,63083.7,7438,3745.96,64333.1,3816,10710.3,11200.3,0.785547
20309.8,70179.3,18966,9928.64,68148.6,9548,11126.4,13045.8,0.797254
21629.4,73438.4,19302,11216.6,70736.1,10392,7548.72,9271.8,0.799596
16876.2,73337,15081,12097,70114.8,11307,9662.39,11872.1,0.799596
15261.4,74081.5,13501,10282.9,67722,9951,8841.63,10829.7,0.799596
13563.5,63529.1,13992,3799.92,62539.3,3982,13568.1,12337.2,0.80662
9120,69563.4,8592,5247.61,66110.6,5202,6867.12,7627.56,0.808961
9813.76,62224.7,10336,3051.58,61839.3,3234,6860.02,6844.2,0.813644
16213.8,75974.9,13986,12014.6,71711.3,10980,13880.5,18049.9,0.814815
13708.2,63723.8,14098,5293.76,62353,5564,11098.7,10355,0.814815
9104.64,70873.2,8419,6576.73,66586.2,6473,7396.78,9398.96,0.824181
13820.8,67847.2,13350,9238.52,67034.5,9032,7706.34,8037.6,0.824181
13707.5,65148.7,13789,4743.51,64832.3,4795,8720.93,9296.96,0.827693
10380.8,62471.6,10890,2746.28,61552.7,2924,7359.86,6904.04,0.828863
28314.2,73442.7,25266,18913,71218.2,17404,16199.4,17210.8,0.834717
12430.1,67586.3,12053,6456.74,67910.3,6231,9115.69,12129.8,0.835888
13388.8,64202,13667,5445.7,61906.2,5765,10170.8,11350.6,0.837058
11127.7,70371.9,10363,8414.21,66889.1,8244,6390.71,7382.76,0.8394
9589.12,62742.9,10016,3048.74,62340.8,3205,6316.87,6134.28,0.840571
12527.4,67789,12111,5648.05,66862.5,5536,11352.2,11259.4,0.846424
95559.7,93500.9,66979,67486.9,96296.9,45929,14416.5,18523.2,0.846424
22945.9,74319.7,20234,13388.5,69235.9,12673,11070.3,12089.7,0.847595
12428.2,69124.3,11783,9062.44,66426.1,8941,7466.36,8538.76,0.849936
15991.7,66335.3,15799,7036.1,66129,6973,8447.58,11497.4,0.849936
