"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
16744.2,68349.3,16055,8543.6,78298.6,7151,12987,120.32,0.608585
11848.4,70738.4,10977,8945.3,69058.7,8489,11482.9,71.04,0.608585
16196.7,64405.4,16481,5107.05,62995.6,5313,11036.3,1.28,0.609751
14446.7,69052.7,13711,7153.25,70242,6674,7359.3,30.08,0.613249
11980.5,74941,10477,8610.55,73323.9,7696,13966.5,60.8,0.614414
15299.9,65467,15316,6784.05,63696.2,6980,8438.3,20.48,0.61558
15760.1,64136.4,16104,6581.9,65386,6597,9507.55,39.04,0.616746
21080.1,73703.9,18744,9846.2,71121,9073,25223.2,110.08,0.619078
11928.6,63894.9,12235,4033.9,62262.3,4246,9917.05,23.68,0.620244
8629.34,62531.2,9044,2884.7,61300.8,3084,8455.2,21.12,0.623741
6741.93,61709.4,7160,3723.85,64222.7,3800,7843.55,19.84,0.624907
20100.1,68469.3,19239,9805.9,67088.4,9579,7672.6,14.72,0.627239
14307.5,64948.1,14437,6570.85,63505,6781,6537.7,45.44,0.628405
16567.2,70484.8,15404,7940.4,69153.8,7525,16216.8,90.24,0.629571
17112.9,65136.1,17218,5645.9,62905.4,5882,14963,33.92,0.629571
8623.44,63664,8877,3261.7,62557.4,3417,7013.5,3.84,0.629571
8727.28,73327,7800,5861.7,69042.5,5564,9879.35,-0.64,0.630737
10677.8,64158.9,10907,3142.75,62074.5,3318,8814,23.04,0.631903
11172.8,67817.2,10797,3320.2,66339.2,3280,9610.9,39.04,0.634234
13230.2,64546.4,13433,4538.95,62849.1,4733,8849.1,12.16,0.6354
17330.7,69933,16241,8843.9,68761.9,8429,7616.7,-14.72,0.6354
16607.3,71140.4,15299,6657.3,68138.8,6403,13733.8,51.2,0.638898
11833.6,68966.5,11245,5552.3,67572.1,5385,12774.4,33.28,0.643561
13988.9,64744.1,14160,4686.5,63040.7,4872,6794.45,20.48,0.643561
10913.8,64378.8,11110,4218.5,62633.4,4414,13052,64.64,0.645893
14608.4,72605.5,13186,8570.25,71403.5,7866,8303.75,7.68,0.649391
7977.98,62691.2,8340,3199.95,62266,3368,8370.7,-18.56,0.651722
17704.7,64396.5,18018,5739.5,63948.3,5882,12305.8,12.8,0.657552
13669.1,67834.3,13206,7389.85,68969.1,7022,19230.9,30.08,0.658718
13023.7,68693.6,12425,8117.85,66601.3,7988,12837.5,37.76,0.659883
14685.7,73626.2,13072,6847.1,68404.2,6560,19797,61.44,0.659883
10535.6,65633.4,10520,6638.45,66593.8,6533,12463.1,48,0.662215
12224.8,64834.9,12357,6067.1,66657.7,5965,13503.1,42.24,0.663381
9908.46,64632.3,10047,6091.8,66516.5,6002,11135.8,87.68,0.663381
14138.2,68149.4,13596,7231.25,68041.2,6965,16964.3,60.16,0.666879
11716.8,64370.3,11929,5716.1,65617.5,5709,19846.4,21.76,0.666879
8096.57,66576.8,7970,5840.25,68286.6,5605,6901.7,12.16,0.668045
9826.45,63055.5,10213,3007.55,62831.6,3137,10948.6,-5.12,0.670376
11275.5,64061.6,11535,4160.65,62396.4,4370,10374,-3.84,0.671542
8559.72,62783.4,8935,4439.5,62717.6,4639,9766.25,33.28,0.671542
8673,61681.4,9215,3770,62740.1,3938,14430.6,36.48,0.676206
17560.8,65774.8,17497,10331.1,63389.1,10681,8165.95,34.56,0.677372
13968.8,72100.6,12697,8681.4,71655.4,7940,18284.5,39.68,0.679703
19089.4,68284.8,18321,9649.25,68372.1,9249,9729.85,35.84,0.682035
11428.3,64477,11616,4310.15,62938.9,4488,13845,64,0.684367
7016.28,63014.8,7297,2980.9,63737.8,3065,10474.8,27.52,0.686698
7536.07,63383.5,7792,3001.05,62556.2,3144,10277.1,53.76,0.687864
10764,64404.9,10953,4667,63245.8,4836,13073.4,13.44,0.696025
13554.7,75396.2,11782,7419.1,70661,6881,18379.4,55.68,0.697191
16434.4,70088.4,15367,10303.8,70377.3,9595,11148.1,39.04,0.698357
14174.2,64441.1,14415,4119.05,63160.1,4274,7876.05,28.16,0.700689
15393.7,65036.2,15512,6740.5,63214.9,6988,10487.8,7.04,0.704187
15396.6,63842.7,15805,6178.25,63453.7,6381,6515.6,-1.28,0.704187
15411.4,70763,14273,8664.5,70935.2,8005,9139.65,10.88,0.706518
15675.1,65754.6,15623,6867.9,67673.2,6651,11881.3,23.68,0.706518
11647.2,64338.3,11864,4013.1,63343.6,4152,8932.95,6.4,0.707684
22983.4,71069.3,21194,11922.3,70934.2,11015,7990.45,-1.28,0.707684
15262.1,73410.5,13625,8823.1,71812.1,8052,17811.3,37.76,0.70885
8971.54,62555.5,9399,2989.35,61938,3163,8497.45,0.64,0.711182
26311.6,81506.9,21156,16853.2,76850.2,14372,11654.5,9.6,0.715845
6792.08,62159.7,7161,3916.25,62522.6,4105,9105.2,-6.4,0.715845
13476.2,64521.9,13688,4486.95,63579.8,4625,7534.15,13.44,0.72284
15754.8,64766.3,15942,8060.65,64913.1,8138,10717.8,62.08,0.72284
10220,67185.9,9969,5910.45,67470.3,5741,11724.7,38.4,0.724006
11497.9,63551.3,11857,3987.1,62736.8,4165,8759.4,44.8,0.725172
10878.4,65629,10863,6963.45,81000.5,5634,11092.2,125.44,0.726338
15454.5,70901.2,14285,8679.45,69300.2,8208,13782.6,48.64,0.727504
17949,68501.3,17172,10403.2,68756.3,9916,8372,12.8,0.72867
14064.4,81145,11359,11631.8,78345.2,9730,8630.7,19.2,0.729836
15281.6,68911.7,14533,7055.75,68352.6,6765,23264.1,40.32,0.732167
23366.9,81132.5,18875,12402.6,74776.4,10870,21787.3,53.76,0.734499
15883.4,64542,16128,7429.5,63200.9,7704,9756.5,14.08,0.735665
10789.3,62298.6,11350,3522.35,61426.5,3758,7694.05,39.68,0.740329
