,WELL ID,yeast cells/Comp-FITC-A- | Count,yeast cells/Comp-FITC-A+ | Count,
Specimen_001_A1_A01_047.fcs,A01,14399,62732,
Specimen_001_A2_A02_048.fcs,A02,1287,7067,
Specimen_001_A3_A03_049.fcs,A03,10785,47486,
Specimen_001_A4_A04_050.fcs,A04,1200,7297,
Specimen_001_A5_A05_051.fcs,A05,1361,6760,
Specimen_001_A6_A06_052.fcs,A06,1535,6952,
Specimen_001_A7_A07_053.fcs,A07,1284,7009,
Specimen_001_A8_A08_054.fcs,A08,1395,7024,
Specimen_001_A9_A09_055.fcs,A09,1538,7177,
Specimen_002_C1_C01_056.fcs,C01,1626,6846,
Specimen_002_C2_C02_057.fcs,C02,1457,7007,
Specimen_002_C3_C03_058.fcs,C03,1441,6879,
Specimen_002_C4_C04_059.fcs,C04,1171,6972,
Specimen_002_C5_C05_060.fcs,C05,223,888,
Specimen_002_C6_C06_061.fcs,C06,1457,6889,
Specimen_002_C7_C07_062.fcs,C07,1440,7040,
Specimen_002_C8_C08_063.fcs,C08,1177,7337,
Specimen_002_C9_C09_064.fcs,C09,1374,7172,
Specimen_003_A11_A11_065.fcs,A11,67250,67.0,
Specimen_004_C11_C11_066.fcs,C11,8653,2.00,
Mean,-,6103,10830,
SD,-,14877,15537,
