"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Event #","FITC-A","PE-A","(Event #%8) - 0.5 + (Event #/(89159 + 1))","Time"
8853.76,44558.4,13022,6861.6,116679,3854,2289,588.24,34.5,-0.474338,0.899598
22940.8,45070.1,33358,16603.2,66746.9,16302,3609,1430.64,54.75,-0.459533,1.06835
14567,58300.2,16375,11931.1,97459.5,8023,4009,1288.8,38.25,-0.455047,1.11839
18968.3,48538.1,25611,10301.8,72830.2,9270,5545,1352.16,21.75,-0.43782,1.30925
8032,33008.4,15947,6458.4,64936.7,6518,5769,660.24,-1.5,-0.435307,1.3395
14298.9,42542.9,22027,8456.4,65415.3,8472,5833,717.84,42,-0.43459,1.34649
14222.7,46919.4,19866,9653.76,71552.7,8842,5857,1044,5.25,-0.43432,1.34882
25457.9,63769.8,26163,19708.6,76431.8,16899,6097,2300.4,61.5,-0.431629,1.3814
8076.8,34798.6,15211,6454.08,64174.6,6591,6129,507.6,-15,-0.43127,1.38489
10413.4,45548.6,14983,8632.8,75164,7527,6257,1009.44,19.5,-0.429834,1.40118
17715.8,84616.7,13721,14343.1,125852,7469,6369,2031.84,50.25,-0.428578,1.41631
11379.2,45068.4,16547,8544.96,71915,7787,6393,869.04,25.5,-0.428309,1.41864
8903.68,37308.9,15640,7082.64,64827.9,7160,6657,456.48,4.5,-0.425348,1.45355
17382.4,47790.1,23837,11375.3,65176.6,11438,6705,1761.12,47.25,-0.424809,1.45821
9424,37709.8,16378,6474.96,63724.7,6659,6713,570.24,33,-0.42472,1.45937
8650.88,36551.1,15511,6671.52,66619.7,6563,6721,791.28,28.5,-0.42463,1.46054
14495.4,76758.9,12376,10062.7,104149,6332,6793,872.64,11.25,-0.423822,1.46985
18428.8,53876.5,22417,11066.4,73809,9826,6809,1390.32,52.5,-0.423643,1.47334
13987.8,48706.6,18821,11262.2,70528.6,10465,6849,1271.52,-31.5,-0.423194,1.47799
13644.2,44460.2,20112,9920.16,64241.9,10120,6913,1201.68,12.75,-0.422476,1.48498
8531.84,36691.6,15239,5760,63432.6,5951,6969,348.48,18,-0.421848,1.49196
9260.8,38230.9,15875,7123.68,63613.2,7339,7065,900.72,15,-0.420772,1.50243
10097.3,39091.2,16928,5266.8,62711.7,5504,7073,663.84,-24,-0.420682,1.5036
24675.8,83747.1,19310,18833,92695.6,13315,7193,1810.8,76.5,-0.419336,1.51989
11496.3,42057.8,17914,7696.08,63828.2,7902,7233,496.8,-3,-0.418887,1.52571
23632,64146.2,24144,16820.6,74645,14768,7361,2639.52,49.5,-0.417452,1.54317
9091.2,38150.8,15617,5590.8,63379.8,5781,7385,405.36,27.75,-0.417183,1.54666
10590.1,45810.7,15150,7511.04,71902.4,6846,7457,1054.08,39.75,-0.416375,1.55713
12597.8,46364.2,17807,9758.16,68360.3,9355,7633,787.68,12,-0.414401,1.57924
7832.96,37131.3,13825,5382,63358.1,5567,7705,380.16,-2.25,-0.413594,1.58972
12848.6,44830.4,18783,8663.76,66940.4,8482,7737,912.24,38.25,-0.413235,1.59321
9962.88,40579.7,16090,3221.28,63377.3,3331,7793,476.64,-3.75,-0.412607,1.60019
10862.7,73225.6,9722,6279.84,102123,4030,7945,705.6,6.75,-0.410902,1.61881
18132.5,59820.3,19865,13374.7,76445.6,11466,8033,1538.64,48.75,-0.409915,1.62928
12223.4,44407.7,18039,9662.4,63969.6,9899,8177,881.28,19.5,-0.4083,1.64558
10733.4,45382.4,15500,6720.48,70991.9,6204,8225,734.4,30,-0.407761,1.6514
24784.6,87163.2,18635,19341.4,103465,12251,8233,1497.6,36.75,-0.407672,1.65256
8361.6,38539,14219,5273.28,64152.5,5387,8257,594,10.5,-0.407402,1.65605
8055.04,38400.8,13747,5310,64075.9,5431,8305,397.44,13.5,-0.406864,1.66187
14486.4,52796.2,17982,11122.6,70393.8,10355,8489,1137.6,24.75,-0.4048,1.68282
8300.16,39944.1,13618,5160.24,64268.6,5262,8553,470.88,-17.25,-0.404083,1.6898
9896.96,41572.1,15602,4114.8,63630.9,4238,8577,521.28,-21.75,-0.403813,1.69213
11361.9,47014.4,15838,8665.2,71207.8,7975,8601,654.48,9.75,-0.403544,1.69562
8213.76,39876.8,13499,3863.52,64674.2,3915,8729,410.4,7.5,-0.402109,1.71308
23770.9,60529.5,25737,13781.5,73711.4,12253,8745,1190.88,30.75,-0.401929,1.71424
7834.24,38594.7,13303,2749.68,62942,2863,8777,481.68,-12.75,-0.40157,1.71773
14775,48793,19845,10302.5,64456.6,10475,8801,730.8,-10.5,-0.401301,1.72122
8587.52,39846.5,14124,5070.96,63567.4,5228,8817,619.2,34.5,-0.401122,1.72239
8786.56,41204.7,13975,5582.88,63664.5,5747,8857,246.24,13.5,-0.400673,1.72821
9443.84,41877.8,14779,5083.2,64274.1,5183,8881,796.32,21,-0.400404,1.73053
10019.2,43324,15156,6068.88,66465.6,5984,8889,846,12.75,-0.400314,1.7317
8698.88,41667.1,13682,4719.6,64411.4,4802,8929,524.16,-26.25,-0.399865,1.73635
13547.5,47532,18679,9758.88,66351.1,9639,8969,588.24,47.25,-0.399417,1.74217
12234.2,51412.8,15595,9154.8,71297.6,8415,8977,822.24,26.25,-0.399327,1.74333
14831.4,54581.5,17808,10161.4,71238.2,9348,9017,1213.92,26.25,-0.398878,1.74915
24832,58961.3,27601,14924.9,69522.9,14069,9033,1556.64,23.25,-0.398699,1.75148
