"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
8853.76,44558.4,13022,6861.6,116679,3854,588.24,34.5,0.899598
14556.8,58280.6,16369,8298.72,106703,5097,1318.32,27,0.926365
10460.8,30608,22398,8599.68,66982.3,8414,936,20.25,0.957787
12010.9,43199.9,18221,8365.68,92112.4,5952,915.84,-12.75,0.9927
13645.4,46006.1,19438,8935.2,88522.6,6615,969.84,18,1.01947
15052.8,61437.4,16057,11099.5,109749,6628,969.84,39.75,1.05554
13205.1,36587.8,23653,10440,67415.1,10149,1071.36,24,1.05671
22940.8,45070.1,33358,16603.2,66746.9,16302,1430.64,54.75,1.06835
12000.6,49466.9,15899,9221.04,90928.4,6646,1158.48,27,1.073
8731.52,29670.7,19286,6726.24,64015.5,6886,592.56,16.5,1.08464
17478.4,46772.7,24490,12400.6,75423,10775,1275.12,21.75,1.10559
14567,58300.2,16375,11931.1,97459.5,8023,1288.8,38.25,1.11839
12256.6,35242.7,22792,8285.76,64437.6,8427,912.96,20.25,1.12653
14489.6,38205.2,24855,10984.3,65759.4,10947,940.32,17.25,1.13003
13475.8,65443,13495,10203.1,119087,5615,702.72,9.75,1.13119
20076.8,48275.7,27255,15939.4,72952.2,14319,1596.96,27,1.13817
14647.7,42199.3,22748,11923.9,71059.9,10997,1426.32,31.5,1.16028
13311.4,38796.3,22486,9913.68,65586.8,9906,866.16,44.25,1.16028
15134.7,47976.6,20674,8460,79500.2,6974,1148.4,21.75,1.17309
10822.4,35141.3,20183,8500.32,64573.7,8627,970.56,36,1.17541
7267.84,28706.9,16592,5927.04,64524,6020,776.16,15.75,1.18705
8289.92,31409.4,17297,6492.24,64652.1,6581,1004.4,36.75,1.20218
9410.56,33762,18267,7730.64,64310.1,7878,1428.48,58.5,1.21149
26649.6,91617.7,19063,21382.6,134860,10391,2206.08,33.75,1.21731
14912.6,57116.2,17111,7506,98402.3,4999,869.76,12,1.23011
27390.1,94585.1,18978,18797,109384,11262,1890.72,28.5,1.24058
9684.48,34775.2,18251,7652.88,64110.8,7823,733.68,15,1.24524
18262.4,49787.6,24039,14600.2,71198.5,13439,1630.08,55.5,1.25688
13060.5,40319,21229,8454.24,68461.3,8093,850.32,9,1.26619
29292.2,63048.2,30448,23066.6,78931.5,19152,2613.6,73.5,1.27899
13052.2,40822.1,20954,10442.9,64987.6,10531,1029.6,12,1.28248
16394.2,42868.5,25063,13228.6,68097.3,12731,1322.64,29.25,1.29179
9390.72,34941.8,17613,7658.64,64696.7,7758,558.72,0,1.29179
19488.6,44853.6,28475,11119.7,65593.1,11110,1027.44,28.5,1.29295
23838.1,78623.7,19870,19308.2,111008,11399,2157.84,16.5,1.3011
18968.3,48538.1,25611,10301.8,72830.2,9270,1352.16,21.75,1.30925
10833.3,37368.8,18999,7559.28,64413.6,7691,486,15,1.31274
11073.3,37515.4,19344,7763.76,64471.1,7892,946.08,19.5,1.31739
25609,52692.5,31851,15373.4,71688.8,14054,1711.44,45,1.31739
12723.8,39926.7,20885,9181.44,66348.5,9069,976.32,39,1.31856
9405.44,35252.8,17485,6196.32,64776.2,6269,582.48,27.75,1.31856
10796.8,37814.2,18712,8480.88,64846.9,8571,720,3,1.32205
22752,55801.6,26721,17179.9,74835.7,15045,1895.04,36,1.32438
8311.68,32899.3,16557,6130.08,64124.6,6265,349.2,16.5,1.32438
10099.2,36856.1,17958,7122.96,64219.3,7269,540,-0.75,1.32903
14233.6,56496.5,16511,8245.44,93831.1,5759,938.88,18,1.33019
21972.5,50226.3,28670,15809.8,68785,15063,1800.72,35.25,1.33485
8105.6,33159.1,16020,6706.08,64783.3,6784,889.92,-15,1.33718
8032,33008.4,15947,6458.4,64936.7,6518,660.24,-1.5,1.3395
8113.28,33052.3,16087,5308.56,64486,5395,537.12,-15,1.3395
13986.6,42868.9,21382,8707.68,65219,8750,927.36,27,1.34183
8148.48,33745.3,15825,6631.2,64776,6709,719.28,14.25,1.343
14298.9,42542.9,22027,8456.4,65415.3,8472,717.84,42,1.34649
27031,58450.1,30308,16445.5,75263.5,14320,2233.44,48,1.34649
11349.8,38250.4,19446,3592.08,64144.6,3670,843.12,12,1.34765
14222.7,46919.4,19866,9653.76,71552.7,8842,1044,5.25,1.34882
