"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","PE-A","Time"
16846.7,66674.7,16559,8957.52,68054.7,8626,41807.5,17.25,1.22727
7233.28,65811.5,7203,2495.52,64822.2,2523,53118.7,-29.25,1.22727
25357.4,76174.6,21816,14214.2,74120.3,12568,23406.5,14.25,1.22727
26626.6,76764,22732,16689.6,73863.4,14808,1662.48,24.75,1.22962
17118.1,73947,15171,8911.44,72181.5,8091,135624,16.5,1.22962
16145.3,72776.5,14539,7287.84,72212.9,6614,126531,3,1.22962
12036.5,65977.2,11956,4190.4,65292.9,4206,563.04,15.75,1.22962
18212.5,67160.3,17772,8453.52,66016.4,8392,17718.5,15.75,1.23197
25354.9,79134.1,20998,15592.3,74642.7,13690,146730,16.5,1.23197
13114.9,82122.8,10466,8930.16,73997.6,7909,168187,45.75,1.23197
13213.4,77490.5,11175,8463.6,73456.6,7551,36794.2,48,1.23433
6266.88,65077.8,6311,2392.56,65142.8,2407,62079.1,25.5,1.23433
11856,66671.9,11654,3813.84,65671,3806,72061.2,18,1.23433
18238.7,77275.2,15468,12665.5,72184.3,11499,120468,51.75,1.23433
26140.8,79923.6,21435,17743.7,74896.9,15526,153487,81,1.23433
15392,73378.2,13747,8646.48,71304.4,7947,44642.2,-3,1.23433
14385.9,79293.2,11890,8400.24,73579,7482,98980.6,-12,1.23433
12654.7,77726.3,10670,7941.6,73688.3,7063,3142.8,29.25,1.23433
10320,69275,9763,5247.36,70949.3,4847,81207.4,4.5,1.23668
13562.9,77104.2,11528,6685.92,73125.6,5992,149686,-3.75,1.23668
25153.9,78544.3,20988,16701.8,76372.6,14332,111315,51,1.23668
16183.7,72013.4,14728,10317.6,70354.2,9611,77006.9,33.75,1.23668
27740.8,78790.9,23074,21900.2,81502.2,17610,125329,29.25,1.23668
16979.2,66703.6,16682,6287.76,66399.4,6206,32312.9,19.5,1.23668
21542.4,80298.2,17582,12101.8,77640.8,10215,128399,29.25,1.23668
17172.5,74600,15086,10735.2,71658.4,9818,86440.3,36.75,1.23903
13205.1,79090.7,10942,8957.52,73315.9,8007,90015.8,37.5,1.23903
19596.2,74380.5,17266,10157.8,72319.3,9205,19233.4,17.25,1.23903
13577.6,76702.1,11601,8863.92,74389.3,7809,177793,23.25,1.23903
12343,76298.2,10602,6837.84,74600.4,6007,191332,45.75,1.23903
24787.2,75331.8,21564,16600.3,73947.7,14712,162849,64.5,1.23903
13703,71352.5,12586,7471.44,71638.4,6835,168000,39,1.23903
9692.16,65060.5,9763,4860,67955,4687,37142.6,24,1.23903
27459.8,83115.1,21652,17512.6,75111.5,15280,1393.92,33.75,1.23903
8773.12,72973.1,7879,5550.48,71060,5119,84176.6,11.25,1.23903
14825.6,66195,14678,4351.68,65621.7,4346,55957,9.75,1.24138
14404.5,71886.4,13132,7337.52,69975.5,6872,55966.3,24.75,1.24138
12178.6,72889,10950,6464.88,70778.9,5986,29101,23.25,1.24138
18297,68305.9,17555,8776.08,66730.4,8619,30419.3,18,1.24138
12867.2,65644.2,12846,4841.28,66279.1,4787,29647.4,2.25,1.24138
11897.6,78529.7,9929,6618.96,73910.4,5869,153827,24.75,1.24138
16470.4,65753.2,16416,5989.68,65796.1,5966,602.64,48.75,1.24138
23562.2,78356.7,19707,13787.3,73880.9,12230,84651.8,36.75,1.24373
12389.8,73541.8,11041,7364.16,73013.3,6610,111609,23.25,1.24373
15694.7,74415.4,13822,8754.48,75550.9,7594,142872,10.5,1.24373
12677.8,64362.1,12909,4176,64837.3,4221,311.76,22.5,1.24373
9430.4,72949.8,8472,5546.88,73826.2,4924,60409.4,-18,1.24373
14149.1,65508.8,14155,4652.64,65111.1,4683,62284.3,-2.25,1.24373
13268.5,66838.1,13010,6994.8,69561.6,6590,105562,14.25,1.24373
14685.4,66182.4,14542,6667.2,66183.2,6602,59996.9,18.75,1.24373
12555.5,77699.6,10590,7871.04,72745.2,7091,157807,15,1.24608
11032.3,68760.3,10515,6408,69817.9,6015,583.2,15.75,1.24608
10047.4,70296.1,9367,6075.36,70757.9,5627,10026,11.25,1.24608
17495.7,79492.3,14424,14230.8,73090.1,12760,1360.8,15,1.24608
17696.6,68964,16817,8573.76,66851.9,8405,1985.04,19.5,1.24608
25217.9,82035.2,20146,18984.2,74509,16698,135101,60.75,1.24843
13975.7,66274.2,13820,4635.36,65357.8,4648,2088.72,36,1.24843
15991.7,73324.8,14293,6865.2,70464.8,6385,22626,42.75,1.24843
12704.6,77538.8,10738,8583.12,71802.8,7834,147267,34.5,1.24843
16187.5,67283.9,15767,5150.88,65470.9,5156,39903.8,22.5,1.24843
13224.3,66062.1,13119,4353.12,65522.8,4354,42073.2,12,1.24843
18425,74925.4,16116,9676.08,74332.6,8531,100058,42.75,1.25078
11468.2,66729.8,11263,5636.16,66890.9,5522,36788.4,18.75,1.25078
15148.8,66172.9,15003,6395.76,66258.7,6326,72493.9,46.5,1.25313
15203.2,66686.1,14941,5994.72,65511.1,5997,19144.1,9.75,1.25313
9340.8,75463.3,8112,5736.96,72081.6,5216,153420,29.25,1.25313
8565.12,65126.3,8619,3267.36,65164.2,3286,67906.8,-0.75,1.25313
10247.7,71067.9,9450,6312.96,71790.1,5763,992.88,23.25,1.25549
12574.1,66061.8,12474,4210.56,65529.2,4211,34967.5,-1.5,1.25549
17347.2,76618.5,14838,9251.28,71648.8,8462,125072,0,1.25549
12529.9,73852,11119,10107.4,74982.6,8834,104108,12.75,1.25549
15210.2,70551.2,14129,7577.28,72000.1,6897,70133.8,-9.75,1.25549
10072.3,65990.1,10003,5654.88,68591.2,5403,30121.2,-11.25,1.25784
