,number_mutation,mean,color,trajectory
0,0,9.088555818020378,0,0
1,1,9.76316181422472,0,0
2,2,9.59096461255899,0,0
3,3,9.520620025015997,0,0
4,4,9.415975403757908,0,0
5,5,9.406149671974037,0,0
0,0,9.28192379921693,0,1
1,1,9.320021041498494,0,1
2,2,9.438913969100465,0,1
3,3,9.408351923038374,0,1
4,4,9.225230466943978,0,1
5,5,9.380866829755481,0,1
0,0,9.096883773807807,0,2
1,1,9.617592036487544,0,2
2,2,9.655025739801005,0,2
3,3,9.6073669224102,0,2
4,4,9.544337904126994,0,2
5,5,9.429310749933366,0,2
0,0,9.24202613068814,0,3
1,1,9.47179500022725,0,3
2,2,9.227918217830297,0,3
3,3,9.494810026993063,0,3
4,4,9.472682058098806,0,3
5,5,9.478874391830969,0,3
0,0,9.413440936636135,0,4
1,1,9.958179688521804,0,4
2,2,9.94638402982518,0,4
3,3,9.745160035721533,0,4
4,4,9.642410221255355,0,4
5,5,9.478874391830969,0,4
0,0,9.048678476121314,0,5
1,1,9.61725568692797,0,5
2,2,9.57477278558824,0,5
3,3,9.487302164286142,0,5
4,4,9.461353851151411,0,5
5,5,9.478874391830969,0,5
0,0,9.318266975072904,0,6
1,1,9.602435015297972,0,6
2,2,9.412076571871932,0,6
3,3,9.485928981199224,0,6
4,4,9.50143557630892,0,6
5,5,9.40762749922805,0,6
0,0,9.342513244160237,0,7
1,1,9.767368145115517,0,7
2,2,9.800809286253063,0,7
3,3,9.781566605176316,0,7
4,4,9.600119191540804,0,7
5,5,9.478874391830969,0,7
0,0,9.308783208956397,0,8
1,1,9.369457033093576,0,8
2,2,9.204854529985328,0,8
3,3,9.26473085030548,0,8
4,4,9.286250766620585,0,8
5,5,9.3246954860846,0,8
0,0,9.266625770847497,0,9
1,1,9.455572588282413,0,9
2,2,9.585692593072254,0,9
3,3,9.51483349767912,0,9
4,4,9.517928035459263,0,9
5,5,9.478874391830969,0,9
0,0,9.035954210526459,0,10
1,1,9.735273729412146,0,10
2,2,9.815282309915672,0,10
3,3,9.664414364140201,0,10
4,4,9.581553926489349,0,10
5,5,9.478874391830969,0,10
0,0,9.351850724102814,0,11
1,1,9.68180715603016,0,11
2,2,9.758529554177613,0,11
3,3,9.643877153997643,0,11
4,4,9.299994942660984,0,11
5,5,9.478874391830969,0,11
0,0,9.207619106316526,0,12
1,1,9.436072479364755,0,12
2,2,9.389635174448628,0,12
3,3,9.424435492821594,0,12
4,4,9.449919280018875,0,12
5,5,9.478874391830969,0,12
0,0,8.864011588770222,0,13
1,1,9.444529337199558,0,13
2,2,9.454009040818107,0,13
3,3,9.079092032470877,0,13
4,4,9.22163159880928,0,13
5,5,9.478874391830969,0,13
0,0,8.985871986242211,0,14
1,1,9.520091286910255,0,14
2,2,9.387462493645831,0,14
3,3,9.113726028412518,0,14
4,4,9.301856688634514,0,14
5,5,9.444586953679437,0,14
0,0,9.49074857137291,0,15
1,1,9.7433916801532,0,15
2,2,9.81304391401111,0,15
3,3,9.60095081600298,0,15
4,4,9.299994942660984,0,15
5,5,9.478874391830969,0,15
0,0,9.04598523058002,0,16
1,1,9.683437826832819,0,16
2,2,9.654073202351215,0,16
3,3,9.621403158556594,0,16
4,4,9.581553926489349,0,16
5,5,9.478874391830969,0,16
0,0,9.318501542952017,0,17
1,1,9.305980901232278,0,17
2,2,9.293287475094216,0,17
3,3,9.496189060699423,0,17
4,4,9.419172476428741,0,17
5,5,9.444586953679437,0,17
0,0,8.94888108218665,0,18
1,1,9.1514303530033,0,18
2,2,8.856878877073044,0,18
3,3,8.877926947666902,0,18
4,4,9.305409046198294,0,18
5,5,9.380203531982488,0,18
0,0,9.391219053709522,0,19
1,1,9.511925563538306,0,19
2,2,9.49175461828234,0,19
3,3,9.337102756570355,0,19
4,4,9.411168217968601,0,19
5,5,9.43311984174156,0,19
0,0,9.397259673766948,0,20
1,1,9.686753241437321,0,20
2,2,9.440567358676631,0,20
3,3,9.527294978525829,0,20
4,4,9.517928035459263,0,20
5,5,9.478874391830969,0,20
0,0,9.350130519664367,0,21
1,1,9.64303589794743,0,21
2,2,9.79766130024016,0,21
3,3,9.490917349246793,0,21
4,4,9.442141743196661,0,21
5,5,9.36772733106052,0,21
0,0,9.230893481098757,0,22
1,1,9.47106119853777,0,22
2,2,9.45555440876804,0,22
3,3,9.360327761156736,0,22
4,4,9.352732049531774,0,22
5,5,9.384965796045025,0,22
0,0,9.253005983381383,0,23
1,1,9.534651239613785,0,23
2,2,9.473537042983246,0,23
3,3,9.410802647522814,0,23
4,4,9.449919280018875,0,23
5,5,9.478874391830969,0,23
0,0,9.151850321105309,0,24
1,1,9.079467214524218,0,24
2,2,9.440187170484137,0,24
3,3,9.673216679787165,0,24
4,4,9.606392374917467,0,24
5,5,9.473285709729797,0,24
0,0,9.116048309256975,0,25
1,1,9.049611820595947,0,25
2,2,8.764601789088136,0,25
3,3,9.245217151920649,0,25
4,4,9.203856922378574,0,25
5,5,9.322817996046838,0,25
0,0,9.35833185775617,0,26
1,1,9.64567402600242,0,26
2,2,9.576256854441477,0,26
3,3,9.59145977573311,0,26
4,4,9.477027749286698,0,26
5,5,9.478874391830969,0,26
0,0,9.31745457842699,0,27
1,1,9.36269148612859,0,27
2,2,9.364671453923902,0,27
3,3,9.478844419823886,0,27
4,4,9.567550074873973,0,27
5,5,9.407109045906028,0,27
0,0,9.306595542468907,0,28
1,1,9.614010757869602,0,28
2,2,9.629601671675992,0,28
3,3,9.387831994125293,0,28
4,4,9.320266772346438,0,28
5,5,9.380419675117176,0,28
0,0,9.309194930083901,0,29
1,1,9.738024114953811,0,29
2,2,9.50911269581617,0,29
3,3,9.090674824042068,0,29
4,4,9.346416544592673,0,29
5,5,9.413999020392529,0,29
0,0,9.292345234027607,0,30
1,1,9.609790301984988,0,30
2,2,9.276148370247487,0,30
3,3,9.67737128102359,0,30
4,4,9.538888986213387,0,30
5,5,9.43311984174156,0,30
0,0,9.291973967241848,0,31
1,1,9.447963846229415,0,31
2,2,9.32053568614332,0,31
3,3,9.297059275754611,0,31
4,4,9.39308921810129,0,31
5,5,9.417874888550088,0,31
0,0,9.374202200248817,0,32
1,1,9.544040267731672,0,32
2,2,9.278645276442703,0,32
3,3,9.3416129988812,0,32
4,4,9.24146699030796,0,32
5,5,9.397394077283407,0,32
0,0,9.273584100954867,0,33
1,1,9.29572136856587,0,33
2,2,9.070825975296502,0,33
3,3,9.082635556390231,0,33
4,4,9.22163159880928,0,33
5,5,9.478874391830969,0,33
0,0,9.239427475082836,0,34
1,1,9.632529936722856,0,34
2,2,9.637958850840086,0,34
3,3,9.511669344089867,0,34
4,4,9.396733072348498,0,34
5,5,9.578973909114797,0,34
0,0,9.230893481098757,0,35
1,1,9.504427633767596,0,35
2,2,9.501532018092583,0,35
3,3,9.52449110353052,0,35
4,4,9.47191060543247,0,35
5,5,9.478874391830969,0,35
0,0,9.274984194835138,0,36
1,1,9.446767557108078,0,36
2,2,9.450234459406643,0,36
3,3,9.46150334354287,0,36
4,4,9.517928035459263,0,36
5,5,9.478874391830969,0,36
0,0,9.36849024840038,0,37
1,1,9.6420227037038,0,37
2,2,9.283261645448325,0,37
3,3,9.057599803215451,0,37
4,4,9.502355973973607,0,37
5,5,9.441868987007986,0,37
0,0,9.275825791779631,0,38
1,1,9.549534991312576,0,38
2,2,9.534959304406119,0,38
3,3,9.566902997990589,0,38
4,4,9.449919280018875,0,38
5,5,9.478874391830969,0,38
0,0,9.465436140115854,0,39
1,1,9.697508512065491,0,39
2,2,9.636192752035925,0,39
3,3,9.533318997661462,0,39
4,4,9.682999978251823,0,39
5,5,9.580082109819086,0,39
0,0,8.765054571284557,0,40
1,1,9.45091771769448,0,40
2,2,9.465249531632931,0,40
3,3,9.48850782340515,0,40
4,4,9.449919280018875,0,40
5,5,9.478874391830969,0,40
0,0,9.15400961624373,0,41
1,1,9.576643253437192,0,41
2,2,9.641526177144637,0,41
3,3,9.594363325906855,0,41
4,4,9.329717987858421,0,41
5,5,9.358264136979113,0,41
0,0,9.168633985521145,0,42
1,1,9.635995392168448,0,42
2,2,9.46718579530866,0,42
3,3,9.455029627055962,0,42
4,4,9.45600666313132,0,42
5,5,9.417874888550088,0,42
0,0,9.38166470598637,0,43
1,1,9.281766520315852,0,43
2,2,8.983917464560717,0,43
3,3,9.186295424352425,0,43
4,4,9.56397148518173,0,43
5,5,9.445992433108986,0,43
0,0,9.1520985197535,0,44
1,1,9.552849468061213,0,44
2,2,9.516153776330079,0,44
3,3,9.430467233614939,0,44
4,4,9.449919280018875,0,44
5,5,9.478874391830969,0,44
0,0,9.300049688664478,0,45
1,1,9.606553888012847,0,45
2,2,9.594683534773075,0,45
3,3,9.610276812189259,0,45
4,4,9.475767593789328,0,45
5,5,9.324558306003299,0,45
0,0,9.126750857823499,0,46
1,1,9.560858950585875,0,46
2,2,9.398187712242342,0,46
3,3,9.413199794806284,0,46
4,4,9.411042661728583,0,46
5,5,9.478874391830969,0,46
0,0,9.317280793206029,0,47
1,1,9.417769714027107,0,47
2,2,9.415255867190574,0,47
3,3,9.553535335028224,0,47
4,4,9.517928035459263,0,47
5,5,9.478874391830969,0,47
0,0,9.181710856189275,0,48
1,1,9.38748010604344,0,48
2,2,9.35956641621706,0,48
3,3,9.359333665706101,0,48
4,4,9.366318828916203,0,48
5,5,9.444586953679437,0,48
0,0,9.266625770847497,0,49
1,1,9.529896974179689,0,49
2,2,9.508679377152742,0,49
3,3,9.4042924989261,0,49
4,4,9.040966354673333,0,49
5,5,9.387321899457868,0,49
0,0,9.242852757176815,0,50
1,1,9.598494614937263,0,50
2,2,9.30280778145657,0,50
3,3,9.6183056526084,0,50
4,4,9.581553926489349,0,50
5,5,9.478874391830969,0,50
0,0,9.144908622669123,0,51
1,1,9.396426277041531,0,51
2,2,9.418516350164325,0,51
3,3,9.464923967191332,0,51
4,4,9.22163159880928,0,51
5,5,9.478874391830969,0,51
0,0,9.242701574889889,0,52
1,1,9.745542320800144,0,52
2,2,9.750165817979685,0,52
3,3,9.781566605176316,0,52
4,4,9.713424516808798,0,52
5,5,9.578973909114797,0,52
0,0,9.226867627530234,0,53
1,1,9.457454350563523,0,53
2,2,9.09307989176904,0,53
3,3,9.260890454233026,0,53
4,4,9.020752224797414,0,53
5,5,9.371189750247,0,53
0,0,9.362770359742655,0,54
1,1,9.630395056281287,0,54
2,2,9.551692419963286,0,54
3,3,9.61896588186155,0,54
4,4,9.581553926489349,0,54
5,5,9.478874391830969,0,54
0,0,8.633821857671405,0,55
1,1,9.271150838368976,0,55
2,2,9.058031698410952,0,55
3,3,9.58371583262402,0,55
4,4,9.572050258153302,0,55
5,5,9.473285709729797,0,55
0,0,9.388070707975412,0,56
1,1,9.77448586289614,0,56
2,2,9.714534168680087,0,56
3,3,9.514503845435684,0,56
4,4,9.517928035459263,0,56
5,5,9.478874391830969,0,56
0,0,9.269790800209794,0,57
1,1,9.774254688204241,0,57
2,2,9.83441274773748,0,57
3,3,9.766325725208244,0,57
4,4,9.690650820031529,0,57
5,5,9.485021566151516,0,57
0,0,9.210457053871568,0,58
1,1,9.523742600252124,0,58
2,2,9.465526775601198,0,58
3,3,9.486365182899604,0,58
4,4,9.45129681544812,0,58
5,5,9.352509006264906,0,58
0,0,9.378510483730025,0,59
1,1,9.623412449654996,0,59
2,2,9.58166688039382,0,59
3,3,9.044898503797343,0,59
4,4,9.177365974380605,0,59
5,5,9.40128847386664,0,59
0,0,9.337563495922645,0,60
1,1,9.616553995813684,0,60
2,2,9.54079082366667,0,60
3,3,9.55843262681284,0,60
4,4,9.317364321082728,0,60
5,5,9.427541784336066,0,60
0,0,8.772514971868066,0,61
1,1,9.532274461002768,0,61
2,2,9.245827030290249,0,61
3,3,9.028487182624986,0,61
4,4,9.4533307812373,0,61
5,5,9.442193232662262,0,61
0,0,9.307636105194904,0,62
1,1,9.755794640243712,0,62
2,2,9.687572119366424,0,62
3,3,9.581649227738659,0,62
4,4,9.4122347245648,0,62
5,5,9.371917080934459,0,62
0,0,9.034521280452687,0,63
1,1,9.478732279218285,0,63
2,2,9.494705666794234,0,63
3,3,9.446808731397578,0,63
4,4,9.449919280018875,0,63
5,5,9.478874391830969,0,63
0,0,9.169468368584281,0,64
1,1,9.420637656660265,0,64
2,2,9.521939050908065,0,64
3,3,9.47168496945077,0,64
4,4,9.44588630850231,0,64
5,5,9.478874391830969,0,64
0,0,9.027351113700288,0,65
1,1,9.5442201987277,0,65
2,2,9.276538345256276,0,65
3,3,9.43706985394507,0,65
4,4,9.303806220666663,0,65
5,5,9.32843019885506,0,65
0,0,9.353597143422927,0,66
1,1,9.371936101306757,0,66
2,2,9.392641717436428,0,66
3,3,9.621403158556594,0,66
4,4,9.581553926489349,0,66
5,5,9.478874391830969,0,66
0,0,8.991913008501243,0,67
1,1,9.395576302148172,0,67
2,2,9.131182347623177,0,67
3,3,9.202971729665213,0,67
4,4,9.225714975588366,0,67
5,5,9.478874391830969,0,67
0,0,9.329286031479269,0,68
1,1,9.651560115329824,0,68
2,2,9.626329749955968,0,68
