,line_nb,nb_immune_escape,mean,std
0,0,Wuhan,9.033693603863576,0.0
1,0,0,9.230648080235145,0.36390039310088523
2,0,1,9.087568682500416,0.4591370281606046
3,0,2,8.951154753073325,0.5484011933000363
4,0,3,8.82370678962082,0.6164061609180267
5,0,4,8.683077365282257,0.6761741142324879
6,0,5,8.493957814837188,0.7510657965603424
7,0,Omicron,9.478874391830969,0.0
8,1,Wuhan,9.033693603863576,0.0
9,1,0,8.778890001562518,0.3620241201415587
10,1,1,9.087568682500416,0.4591370281606046
11,1,2,8.951154753073325,0.5484011933000363
12,1,3,8.82370678962082,0.6164061609180267
13,1,4,8.683077365282257,0.6761741142324879
14,1,5,8.493957814837188,0.7510657965603424
15,1,Omicron,9.478874391830969,0.0
16,2,Wuhan,9.033693603863576,0.0
17,2,0,8.778890001562518,0.3620241201415587
18,2,1,8.460275928031084,0.46988310772519026
19,2,2,8.951154753073325,0.5484011933000363
20,2,3,8.82370678962082,0.6164061609180267
21,2,4,8.683077365282257,0.6761741142324879
22,2,5,8.493957814837188,0.7510657965603424
23,2,Omicron,9.478874391830969,0.0
24,3,Wuhan,9.033693603863576,0.0
25,3,0,8.778890001562518,0.3620241201415587
26,3,1,8.460275928031084,0.46988310772519026
27,3,2,8.11595637625604,0.5404940825213914
28,3,3,8.82370678962082,0.6164061609180267
29,3,4,8.683077365282257,0.6761741142324879
30,3,5,8.493957814837188,0.7510657965603424
31,3,Omicron,9.478874391830969,0.0
32,4,Wuhan,9.033693603863576,0.0
33,4,0,8.778890001562518,0.3620241201415587
34,4,1,8.460275928031084,0.46988310772519026
35,4,2,8.11595637625604,0.5404940825213914
36,4,3,7.785066539627701,0.5523701267627195
37,4,4,8.683077365282257,0.6761741142324879
38,4,5,8.493957814837188,0.7510657965603424
39,4,Omicron,9.478874391830969,0.0
40,5,Wuhan,9.033693603863576,0.0
41,5,0,8.778890001562518,0.3620241201415587
42,5,1,8.460275928031084,0.46988310772519026
43,5,2,8.11595637625604,0.5404940825213914
44,5,3,7.785066539627701,0.5523701267627195
45,5,4,7.50689762585222,0.5044636963494805
46,5,5,8.493957814837188,0.7510657965603424
47,5,Omicron,9.478874391830969,0.0
48,6,Wuhan,9.033693603863576,0.0
49,6,0,8.778890001562518,0.3620241201415587
50,6,1,8.460275928031084,0.46988310772519026
51,6,2,8.11595637625604,0.5404940825213914
52,6,3,7.785066539627701,0.5523701267627195
53,6,4,7.50689762585222,0.5044636963494805
54,6,5,7.312345051656006,0.4340614853833265
55,6,Omicron,9.478874391830969,0.0
