,x,y,color,trajectory
0,0,9.033693603863576,3,0
1,1,8.875364418529266,3,0
2,2,8.802274271135879,3,0
3,3,8.365026649774139,3,0
4,4,9.476151875952786,3,0
5,5,9.437439505699404,3,0
6,6,9.478874391830969,3,0
7,0,9.033693603863576,2,1
8,1,9.066813271835995,2,1
9,2,9.05666579366498,2,1
10,3,9.641294354865977,2,1
11,4,9.660764890454717,2,1
12,5,9.713424516808798,2,1
13,6,9.478874391830969,2,1
14,0,9.033693603863576,1,2
15,1,8.674465615656459,1,2
16,2,9.456564174259062,1,2
17,3,9.475501045939696,1,2
18,4,9.424666934005051,1,2
19,5,9.289964158248358,1,2
20,6,9.478874391830969,1,2
21,0,9.033693603863576,0,3
22,1,9.753669026404909,0,3
23,2,9.57624486901838,0,3
24,3,9.567511459424658,0,3
25,4,9.544969878992386,0,3
26,5,9.306954864005512,0,3
27,6,9.478874391830969,0,3
28,0,9.033693603863576,4,4
29,1,8.99356388467631,4,4
30,2,7.960024279880216,4,4
31,3,7.587665059364784,4,4
32,4,7.585183379897709,4,4
33,5,9.517928035459263,4,4
34,6,9.478874391830969,4,4
35,0,9.033693603863576,1,5
36,1,9.033693603863576,1,5
37,2,9.68190671221956,1,5
38,3,9.527803229997728,1,5
39,4,9.515163149922556,1,5
40,5,9.449919280018875,1,5
41,6,9.478874391830969,1,5
42,0,9.033693603863576,2,6
43,1,8.12840825158325,2,6
44,2,8.337109732172763,2,6
45,3,9.634470714844284,2,6
46,4,9.48850782340515,2,6
47,5,9.449919280018875,2,6
48,6,9.478874391830969,2,6
49,0,9.033693603863576,5,7
50,1,9.113570454819468,5,7
51,2,8.958233614016946,5,7
52,3,8.735506033955616,5,7
53,4,8.573787261979943,5,7
54,5,7.961684382837508,5,7
55,6,9.478874391830969,5,7
56,0,9.033693603863576,2,8
57,1,8.96114701549874,2,8
58,2,8.888480611863274,2,8
59,3,9.59970858203238,2,8
60,4,9.603441582968989,2,8
61,5,9.572247702605395,2,8
62,6,9.478874391830969,2,8
63,0,9.033693603863576,0,9
64,1,9.523639004371882,0,9
65,2,9.079453520300785,0,9
66,3,8.558332818950383,0,9
67,4,8.693390136939701,0,9
68,5,9.48681386627281,0,9
69,6,9.478874391830969,0,9
70,0,9.033693603863576,2,10
71,1,9.10300500377378,2,10
72,2,8.97336277895264,2,10
73,3,9.616940451698484,2,10
74,4,9.551886170104398,2,10
75,5,9.487708259266627,2,10
76,6,9.478874391830969,2,10
77,0,9.033693603863576,0,11
78,1,9.58814486206819,0,11
79,2,9.221881837187269,0,11
80,3,9.245827030290249,0,11
81,4,9.496376444395269,0,11
82,5,9.618184898770073,0,11
83,6,9.478874391830969,0,11
84,0,9.033693603863576,3,12
85,1,9.033693603863576,3,12
86,2,8.988047973432787,3,12
87,3,8.815119598274007,3,12
88,4,9.338990291882302,3,12
89,5,9.653150208794765,3,12
90,6,9.478874391830969,3,12
91,0,9.033693603863576,4,13
92,1,9.045392218134,4,13
93,2,8.253797144905677,4,13
94,3,7.691867969657674,4,13
95,4,7.609550649830598,4,13
96,5,9.476208171342002,4,13
97,6,9.478874391830969,4,13
98,0,9.033693603863576,2,14
99,1,8.91996324294256,2,14
100,2,8.739109993928844,2,14
101,3,9.184191565481262,2,14
102,4,9.38921721573135,2,14
103,5,8.98636398001557,2,14
104,6,9.478874391830969,2,14
105,0,9.033693603863576,0,15
106,1,9.605473971323471,0,15
107,2,9.450728575319506,0,15
108,3,9.467258813925763,0,15
109,4,9.242987455371898,0,15
110,5,9.581553926489349,0,15
111,6,9.478874391830969,0,15
112,0,9.033693603863576,4,16
113,1,8.369872020177189,4,16
114,2,7.777576145780709,4,16
115,3,8.382546425857308,4,16
116,4,7.253396843974293,4,16
117,5,9.474189988537717,4,16
118,6,9.478874391830969,4,16
119,0,9.033693603863576,5,17
120,1,9.141538400167333,5,17
121,2,7.829680230365665,5,17
122,3,7.710494825053071,5,17
123,4,7.255072607680378,5,17
124,5,7.230736292380862,5,17
125,6,9.478874391830969,5,17
126,0,9.033693603863576,2,18
127,1,8.897624771964729,2,18
128,2,9.02937560674834,2,18
129,3,9.606135096896455,2,18
130,4,9.517494406974564,2,18
131,5,9.39635223728274,2,18
132,6,9.478874391830969,2,18
133,0,9.033693603863576,5,19
134,1,8.937779346550405,5,19
135,2,8.37978903835181,5,19
136,3,7.773892938379229,5,19
137,4,7.246211265163615,5,19
138,5,7.239770402162262,5,19
139,6,9.478874391830969,5,19
140,0,9.033693603863576,5,20
141,1,9.033693603863576,5,20
142,2,8.768246687503547,5,20
143,3,8.043684729862983,5,20
144,4,7.458505017319005,5,20
145,5,7.23733720793046,5,20
146,6,9.478874391830969,5,20
147,0,9.033693603863576,2,21
148,1,9.033693603863576,2,21
149,2,8.764942090429091,2,21
150,3,9.464816496287137,2,21
151,4,9.704475011174823,2,21
152,5,9.537457562724956,2,21
153,6,9.478874391830969,2,21
154,0,9.033693603863576,4,22
155,1,8.084179890377342,4,22
156,2,7.694865978534782,4,22
157,3,7.574830485425006,4,22
158,4,7.497337562353702,4,22
159,5,9.517928035459263,4,22
160,6,9.478874391830969,4,22
161,0,9.033693603863576,1,23
162,1,8.970069858121956,1,23
