Term	Coefficient	Standard Error	p-value	95% CI lower	95% CI upper
Intercept	8.953129195				
"12,14"	0.758532585	0.041384902	1.48E-74	0.575792248	0.941272922
"14,15"	0.683951905	0.041493722	1.00E-60	0.500731057	0.867172752
"13,15"	0.553966731	0.041734118	4.47E-40	0.369684384	0.738249077
"12,13"	0.523970304	0.042429441	6.20E-35	0.336617671	0.711322936
"7,10,13"	0.435709978	0.067737111	1.28E-10	0.136608083	0.734811873
"13,14"	0.426915911	0.041366161	6.38E-25	0.244258326	0.609573496
14	0.352088457	0.040653201	4.96E-18	0.17257904	0.531597875
"7,10,12,13,14"	0.323377466	0.021900785	3.91E-49	0.226671743	0.420083189
"5,14"	0.317153952	0.041242908	1.53E-14	0.135040608	0.499267297
"8,12,14,15"	0.312747693	0.029569758	4.34E-26	0.182178637	0.443316749
"11,14"	0.306303561	0.041364209	1.35E-13	0.123654595	0.488952528
"7,12,13"	0.301532711	0.039296867	1.74E-14	0.128012358	0.475053065
"8,12"	0.295636731	0.041333228	8.75E-13	0.113124567	0.478148895
"5,8,14,15"	0.287198057	0.0294235	1.82E-22	0.157274822	0.417121291
"7,8,12,14"	0.281127267	0.029437323	1.41E-21	0.151142996	0.411111537
"5,8"	0.267526718	0.041228328	8.81E-11	0.085477753	0.449575682
"7,13,14,15"	0.262652342	0.029705586	1.00E-18	0.131483518	0.393821165
"11,12,15"	0.25506702	0.039693865	1.33E-10	0.079793673	0.430340366
"5,12,15"	0.246171946	0.039012748	2.84E-10	0.073906159	0.418437732
"10,11,13,14"	0.240615226	0.059912666	5.93E-05	-0.023936828	0.505167281
"8,15"	0.238842103	0.041438661	8.32E-09	0.055864387	0.421819819
"11,12,13,14"	0.232429001	0.035928344	1.00E-10	0.073782792	0.39107521
"12,15"	0.230213646	0.042163158	4.80E-08	0.044036817	0.416390474
"5,7,15"	0.223903287	0.038757322	7.69E-09	0.052765363	0.39504121
8	0.217600548	0.040589559	8.35E-08	0.038372148	0.396828947
"8,12,13,15"	0.217200152	0.030703794	1.54E-12	0.081623615	0.352776689
"10,12,13,14"	0.209144824	0.059607555	0.000451087	-0.054059974	0.472349623
"8,10,11"	0.203159328	0.068854079	0.003174695	-0.100874679	0.507193336
"7,8,14,15"	0.194565064	0.029379939	3.61E-11	0.06483418	0.324295948
"5,13,14,15"	0.185136737	0.029814082	5.39E-10	0.053488837	0.316784636
"10,12,15"	0.17535281	0.072791571	0.016004627	-0.146067702	0.496773321
"7,12,13,14"	0.173086125	0.03061228	1.58E-08	0.037913682	0.308258568
"7,11,13,14"	0.169783936	0.030651957	3.07E-08	0.034436292	0.305131581
"7,10,13,15"	0.169366603	0.038014142	8.41E-06	0.001510287	0.337222919
"7,10"	0.167172496	0.075620357	0.027066806	-0.166738882	0.501083875
"5,8,12,14"	0.166589742	0.029442089	1.55E-08	0.036584426	0.296595059
"7,12,15"	0.165245998	0.039094496	2.38E-05	-0.00738076	0.337872755
"4,7,13"	0.158036744	0.037901799	3.06E-05	-0.009323507	0.325396995
"5,11,12,14,15"	0.157297015	0.01749587	2.63E-19	0.08004176	0.234552269
6	0.156564038	0.040674661	0.000118805	-0.02304014	0.336168216
"5,11,15"	0.156252232	0.038808855	5.68E-05	-0.015113242	0.327617706
"10,12,13,14,15"	0.153226841	0.022395169	7.99E-12	0.054338101	0.252115581
"6,8,13,14,15"	0.146034004	0.016896013	5.79E-18	0.071427495	0.220640513
"2,5,7"	0.145949332	0.037861058	0.000116078	-0.021231022	0.313129686
"10,11,12"	0.145886382	0.07650772	0.056555292	-0.191943261	0.483716025
"8,10,11,12,13"	0.144840279	0.05260715	0.005904997	-0.087453333	0.37713389
"8,11,12,14"	0.142554917	0.03048496	2.94E-06	0.007944669	0.277165166
"5,7,13,14,15"	0.139776483	0.016898849	1.39E-16	0.065157451	0.214395514
"4,10,13,15"	0.137239314	0.037763237	0.00027939	-0.029509098	0.303987726
"4,12,13,15"	0.132652805	0.030706034	1.57E-05	-0.002933626	0.268239235
"7,11,12"	0.130871665	0.039416142	0.000900618	-0.043175363	0.304918693
"8,10,12,14"	0.13070275	0.036773935	0.000379786	-0.031677272	0.293082773
"7,11,12,13,15"	0.129324357	0.021914916	3.65E-09	0.032556237	0.226092476
"5,7,12"	0.126732541	0.038353874	0.000953471	-0.042623904	0.296088986
"4,7,10,15"	0.124020626	0.032358199	0.000127028	-0.01886115	0.266902402
"5,11,14"	0.123561864	0.03788908	0.001111087	-0.043742224	0.290865952
"5,8,12,13,15"	0.123526942	0.017558097	2.04E-12	0.045996915	0.201056969
"7,8,11,14"	0.122494131	0.029415429	3.13E-05	-0.007393467	0.252381729
"6,8,10,14"	0.122159993	0.031874626	0.000127145	-0.018586502	0.262906489
"6,7,9"	0.121648156	0.037669761	0.001242376	-0.044687503	0.287983815
"5,7,8,14"	0.121107987	0.029204436	3.38E-05	-0.007847944	0.250063918
"5,7,11"	0.121063265	0.038193441	0.001527566	-0.047584767	0.289711297
