Params: 	4944
Performance: 	0.9800945967020358
Term	Coefficient	Standard Error	p-value	95% CI lower	95% CI upper
Intercept	8.934508760325883
1	0.050114546975939867	0.04675971594796259	0.2838433578447876	-0.15635536960068397	0.2565844635525637
2	0.010720757949086668	0.04675829209426033	0.8186527059493022	-0.19574287152871367	0.217184387426887
3	0.012386834014775694	0.046758934452593395	0.7910819997445273	-0.19407963182908786	0.21885329985863924
4	0.10480615445952818	0.04675910126263606	0.025007614210709267	-0.10166104794260772	0.3112733568616641
5	-0.3659606017660525	0.04675980000761406	5.198373219364042e-15	-0.5724308895123653	-0.15949031401973968
6	0.1755428699162067	0.046758442086677565	0.00017421543173783792	-0.030921421860781007	0.38200716169319443
7	-0.2599769489064576	0.04676110398119307	2.727443471800599e-08	-0.4664529944147803	-0.05350090339813493
8	0.22613276588395514	0.04675795665329371	1.330245617716195e-06	0.0196706175628939	0.4325949142050164
9	0.014925915769268938	0.04675722399094304	0.7495608790235095	-0.19153299744372215	0.22138482898226003
10	-0.11548117535828228	0.04676170919365198	0.013533629590679951	-0.3219598932131616	0.09099754249659703
11	-0.20152033118594792	0.04675782397553686	1.6390877379235464e-05	-0.40798189366159	0.004941231289694176
12	-0.8445328201571761	0.046760449176977	1.6855181568113425e-72	-1.0510059743440028	-0.6380596659703495
13	-0.18993536338046724	0.04675789713278815	4.876612030196062e-05	-0.39639724888569294	0.01652652212475844
14	0.35477643501554423	0.04675938239920104	3.369118238387389e-14	0.14830799124053126	0.5612448787905572
15	-0.8860234956560089	0.04676206498223463	1.4713634366794425e-79	-1.0925037845135663	-0.6795432067984515
1,2	-0.04124050084674502	0.047406287646677134	0.3843421482452074	-0.2505653878180343	0.16808438612454424
1,3	-0.09172345675885363	0.04740965685534891	0.05303727118724717	-0.3010632206432996	0.11761630712559235
1,4	-0.11587915643004221	0.04741000580586405	0.01452386897143098	-0.3252204611233295	0.09346214826324509
1,5	0.02263337203605076	0.04741297329285364	0.6331048143131628	-0.1867210357477657	0.2319877798198672
1,6	-0.03293769653261336	0.04740598353338717	0.4871862024785858	-0.2422612406761216	0.17638584761089487
1,7	0.029000817917524957	0.04744099757748682	0.5410040914476775	-0.18047733252796144	0.23847896836301136
1,8	-0.04617390451198977	0.04741033435710875	0.33010440628687354	-0.25551665994009676	0.16316885091611721
1,9	0.014665338466757105	0.04740735457150735	0.7570596515078729	-0.19466425956567146	0.22399493649918567
1,10	0.009623206088094749	0.04742348669913661	0.8391985168902822	-0.19977762417871103	0.21902403635490053
1,11	0.01841933805759738	0.04740581389539205	0.6976150159830516	-0.19090345704066985	0.2277421331558646
1,12	0.015068109738993751	0.047437325822135085	0.7507585346408208	-0.19439382788300144	0.22453004736098894
1,13	-0.03266335832692224	0.04740650321873297	0.4908253336665399	-0.24198919716764616	0.17666248051380168
1,14	-0.06422439980715688	0.04741005472257866	0.17553762388802027	-0.27356592049469863	0.14511712088038486
1,15	0.010649456985977412	0.047443864186280674	0.8223976397543815	-0.19884135111720697	0.2201402650891618
2,3	-0.08085607154054175	0.047406034078185395	0.08809241676868217	-0.2901798388671909	0.12846769578610737
2,4	0.05506730346648181	0.047410555079642376	0.24544907963595228	-0.15427642657325788	0.2644110335062215
2,5	-0.08730861835623371	0.04740595749763008	0.065526399376179	-0.29663204753752526	0.12201481082505786
2,6	0.014951487733815494	0.04740296218829689	0.7524508304280644	-0.19435871550596623	0.22426169097359722
2,7	-0.02401345271992028	0.04741817144915403	0.6125667076404562	-0.23339081322866104	0.18536390778882048
2,8	-0.01279873756015193	0.047402717584292396	0.7871621962229817	-0.2221078607384453	0.19651038561814144
