Params: 	4944
Performance: 	0.9800945967020358
Term	Coefficient	Standard Error	p-value	95% CI lower	95% CI upper
Intercept	8.693611478651396
1	0.0001619734293305166	0.000609810126724646	0.7905393282196017	-0.0025306743646068223	0.0028546212232678555
2	-0.014346694215823848	0.0006098127837740488	3.3561968319390394e-121	-0.017039353742098678	-0.011654034689549017
3	-0.003175322239636083	0.0006098107853136162	1.9321934400856632e-07	-0.005867972941606693	-0.00048267153766547296
4	0.05041326760412701	0.0006098152882354249	0.0	0.04772059701927492	0.0531059381889791
5	-0.13952845326588295	0.0006098143735620821	0.0	-0.14222111981194813	-0.13683578671981778
6	0.06584570268513598	0.0006098139153004905	0.0	0.06315303816254829	0.06853836720772367
7	-0.10461958666224486	0.0006098127587017997	0.0	-0.1073122460778119	-0.10192692724667782
8	0.14146210209988314	0.0006098160119355924	0.0	0.13876942831949596	0.1441547758802703
9	0.009272748655783262	0.0006098113404535568	5.23236508815323e-52	0.00658009550256386	0.011965401809002664
10	0.013971549203816762	0.0006098085306688081	4.176723177789892e-115	0.01127890845734558	0.01666418995028794
11	-0.06104098566520552	0.0006098142432452764	0.0	-0.06373365163585018	-0.05834831969456086
12	-0.13463279283865887	0.0006098149704046761	0.0	-0.13732546202011303	-0.1319401236572047
13	0.17509428736906105	0.0006098144268389836	0.0	0.172401620587749	0.1777869541503731
14	0.5470118839262994	0.0006098128181003119	0.0	0.5443192242484552	0.5497045436041436
15	-0.18070309407188748	0.0006098142634078023	0.0	-0.1833957601315608	-0.17801042801221414
1,2	0.0038556121371704118	0.0006098086409190588	2.610042754460458e-10	0.0011629709038836122	0.006548253370457211
1,3	-0.001140453983258169	0.000609806606896045	0.061467993740022	-0.003833086235212352	0.0015521782686960142
1,4	-0.004434020596314777	0.0006098107229260051	3.6586832751675803e-13	-0.007126671022809701	-0.0017413701698198538
1,5	-0.001898639355978976	0.000609810161690079	0.0018507490250756237	-0.004591287304307972	0.0007940085923500199
1,6	0.00015159818907177838	0.0006098095769528532	0.8036726436554305	-0.0025410471773201	0.0028442435554636566
1,7	0.0013734854471201523	0.0006098077232828756	0.024309483137505746	-0.0013191517342971623	0.004066122628537467
1,8	-0.0016807341957286708	0.0006098106928353979	0.005852297454122478	-0.0043733844893569795	0.001011916097899638
1,9	0.0008797639619369246	0.0006098077998002144	0.14911892545128852	-0.0018128735573466116	0.003572401481220461
1,10	0.0017611679245522274	0.0006098062681699734	0.003879031030383666	-0.0009314628317396677	0.0044537986808441225
1,11	0.0024060445162601383	0.000609810590269274	7.980909464641253e-05	-0.0002866053244822064	0.005098694357002483
1,12	0.001312950788009637	0.0006098093754855119	0.0313232339247255	-0.0013796936887928947	0.0040055952648121685
1,13	-0.0025351884509789147	0.0006098101267246316	3.2293793371230404e-05	-0.005227836244916189	0.00015745934295836048
1,14	-0.000446820912757411	0.0006098106030465062	0.4637349140496605	-0.0031394708099182775	0.0022458289844034555
1,15	-0.0015464292224590323	0.0006098096056901712	0.011220619169008062	-0.004239074715742007	0.0011462162708239425
2,3	-0.011641937030544284	0.0006098087995085091	9.846021988052426e-81	-0.01433457896409091	-0.008949295096997658
2,4	-0.0049763882730261486	0.0006098129645870899	3.475634625138141e-16	-0.007669048597690208	-0.0022837279483620895
2,5	0.003583831085859291	0.0006098127701597477	4.2269159430090434e-09	0.0008911716196991029	0.00627649055201948
2,6	4.507263225983493e-06	0.0006098147891260337	0.9941027821680929	-0.0026881611177830694	0.0026971756442350364
2,7	0.0005964569918013793	0.0006098103753182817	0.32803219365797576	-0.0020961918998138682	0.003289105883416627
2,8	0.001487099119439346	0.000609814541911568	0.014750135285679433	-0.001205568169981594	0.004179766408860286
2,9	-0.0009148455153656643	0.0006098084587071284	0.13356934747496643	-0.0036074859440863687	0.0017777949133550401
2,10	0.00046343949702071577	0.0006098101248496879	0.4472769082514828	-0.0022292082886376497	0.0031560872826790812
2,11	-0.002381335953844514	0.0006098117567247523	9.443447012522188e-05	-0.005073990945130663	0.00031131903744163573
2,12	-0.0010885027699909094	0.0006098127470789248	0.07427567223985927	-0.003781162134236544	0.001604156594254725
2,13	0.0017290756569237724	0.0006098127837740453	0.004579844186320292	-0.000963583869351043	0.004421735183198588
2,14	0.0019027779106831136	0.0006098117658452796	0.0018086967353375108	-0.0007898771208751905	0.004595432942241418
2,15	-0.00022015136734715446	0.0006098114779011349	0.7180906384184658	-0.0029128051274733653	0.0024725023927790564
3,4	-0.0033792595298106493	0.0006098132228485373	3.0266685476698884e-08	-0.006071920994841334	-0.0006865980647799644
3,5	0.002174249654161478	0.0006098118978218671	0.0003638513156390396	-0.000518405960146196	0.004866905268469153
3,6	-0.0007375027190220512	0.0006098093212859459	0.22651991974831925	-0.003430146956503628	0.0019551415184595254
3,7	0.0015242611508509904	0.0006098091259194947	0.012440100239018021	-0.001168382223980032	0.004216904525682012
3,8	-0.00141464256527455	0.0006098115929267309	0.02035876093264101	-0.0041072968333021615	0.001278011702753061
3,9	0.0017890718969562312	0.0006098078511405807	0.003350822326175878	-0.0009035658490233176	0.00448170964293578
3,10	0.0014539893575285755	0.0006098042869256661	0.017115797011644857	-0.0012386326504777805	0.004146611365534932
3,11	0.004385536861375107	0.0006098106313586555	6.563637715769905e-13	0.001692886839200498	0.007078186883549716
3,12	0.0008960600315438168	0.0006098120522319235	0.14173466645933272	-0.0017965962645693561	0.0035887163276569897
3,13	-0.0006163537973666727	0.0006098107853136135	0.3121546750337721	-0.003309004499337271	0.0020762969046039257
3,14	0.000724181474883942	0.000609809450561124	0.23501943279297197	-0.001968463333418793	0.003416826283186677
3,15	-0.0006407987502478618	0.000609809969454791	0.29335173139943094	-0.0033334458497521146	0.002051848349256391
4,5	0.002544995702270965	0.0006098153713629907	3.010162436781769e-05	-0.00014767524963514144	0.005237666654177071
4,6	-0.0018042826326472826	0.0006098146111997226	0.0030916024878637556	-0.004496950228013612	0.0008883849627190467
4,7	0.005528426199020407	0.0006098125511433914	1.3164335382305122e-19	0.0028357676999381386	0.008221084698102676
4,8	0.0029446712432447775	0.0006098170900617407	1.38103587950482e-06	0.00025199270233646365	0.005637349784153091
4,9	-0.0016466803626606005	0.0006098118677360538	0.006931708308134001	-0.004339335844122828	0.0010459751188016267
4,10	-0.0013947528112765242	0.0006098090374098311	0.022191862752131315	-0.004087395795288601	0.0012978901727355532
4,11	-0.004077749366153023	0.0006098149068680066	2.32321224259962e-11	-0.006770418267057777	-0.0013850804652482686
4,12	0.0006706269957793207	0.0006098159862016068	0.2714635485856657	-0.0020220466709781316	0.003363300662536773
4,13	0.004582001279573741	0.0006098152882354256	5.918432676154637e-14	0.001889330694721649	0.007274671864425834
4,14	-0.009869705009840454	0.0006098139799209853	1.1980995353208295e-58	-0.012562369817763243	-0.007177040201917667
4,15	0.00014218900931259847	0.000609815029490525	0.8156331051473228	-0.002550480433038156	0.002834858451663353
5,6	0.002632358348994007	0.0006098127288820694	1.589505063955363e-05	-6.0300934902482364e-05	0.0053250176328904966
5,7	-0.00950735661684091	0.0006098110708943629	1.43535155404898e-54	-0.012200008579807908	-0.006814704653873911
5,8	0.0073373862855828365	0.0006098157934655615	2.9137822844833885e-33	0.004644713469861247	0.010030059101304426
5,9	-0.0005122090830961407	0.0006098115921308962	0.4009456356326805	-0.003204863347609703	0.0021804451814174215
5,10	0.009910557746020204	0.000609808521703839	4.057628249118841e-59	0.007217917039134303	0.012603198452906104
5,11	0.003198763798668555	0.000609813441447589	1.570174668659367e-07	0.0005061013684025807	0.005891426228934529
5,12	-0.0024824915403461197	0.0006098150543588523	4.696285335829192e-05	-0.005175161092504245	0.00021017801181200503
