Params: 	576
Performance: 	0.9746739101900629
Term	Coefficient	Standard Error	p-value	95% CI lower	95% CI upper
Intercept	8.693149557931974
1	0.00017816504815654222	0.0006857200975181868	0.7950030112953806	-0.002513513007842146	0.0028698431041552304
2	-0.0151502706944414	0.0006853681172079725	2.0605938014296733e-107	-0.017840567111371063	-0.012459974277511738
3	-0.0024839957483887842	0.0006854673498323966	0.00029079086935864174	-0.00517468168617188	0.00020669018939431126
4	0.047346027490598325	0.0006866284194243616	0.0	0.044650783970860884	0.050041271010335765
5	-0.14040224464462708	0.0006868756042807591	0.0	-0.14309845844663588	-0.1377060308426183
6	0.06717505593856538	0.0006854754388452093	0.0	0.06448433824873306	0.06986577362839769
7	-0.10288356868818083	0.0006860454491112576	0.0	-0.1055765238567313	-0.10019061351963035
8	0.1431120535745713	0.0006867927943340579	0.0	0.14041616482897715	0.14580794232016545
9	0.008112016217620296	0.0006855472694075	3.116516402276746e-32	0.005421016569086518	0.010803015866154075
10	0.010530648773486632	0.0008227032096279715	2.05663175340297e-37	0.0073012667209990025	0.013760030825974262
11	-0.05773720433992976	0.0008229514248203868	0.0	-0.060967560719098216	-0.0545068479607613
12	-0.12691795002488956	0.0008180831310556964	0.0	-0.13012919674175702	-0.1237067033080221
13	0.1759009718151792	0.0008234871042580724	0.0	0.17266851271714237	0.179133430913216
14	0.5407926842317257	0.0006879860327689355	0.0	0.5380921116308349	0.5434932568326164
15	-0.17856625875155469	0.0006878823003327374	0.0	-0.1812664241683433	-0.17586609333476608
1,2	0.003925467157973345	0.0006558670094157702	2.1865203520199334e-09	0.0013509723410832916	0.006499961974863398
1,3	-0.0013175294477674043	0.0006558897200771245	0.044570893409532304	-0.0038921134115105626	0.001257054515975754
1,4	-0.003649956813869891	0.0006563576652685083	2.706476123292101e-08	-0.006226377617174288	-0.0010735360105654937
1,5	-0.001652637191337545	0.0006562387894521306	0.011795899881381182	-0.004228591367766791	0.0009233169850917013
1,6	0.00011030056201087948	0.0006559058125994898	0.8664544243457012	-0.0024643465702021443	0.0026849476942239032
1,7	0.0017393381607163413	0.0006560609820240542	0.008025268234087288	-0.0008359180627812656	0.004314594384213949
1,8	-0.0017599233868047012	0.0006564389226779072	0.007343941502889536	-0.004336663152301628	0.0008168163786922257
1,9	0.00135555216845822	0.0006559244590535559	0.03877780440296489	-0.0012191681572508288	0.003930272494167268
1,10	0.0021088521992933887	0.0006859650812322865	0.002111986768835474	-0.0005837874987655307	0.0048014918973523085
1,11	0.001887013194513315	0.0006861329311094648	0.00595921102120256	-0.0008062853697983772	0.004580311758825007
1,12	0.0005376881170211616	0.0006828567056987267	0.43104823554719507	-0.0021427501795566466	0.0032181264135989697
1,13	-0.0027015959532656654	0.0006857131876882953	8.17241011184278e-05	-0.005393246885897899	-9.94502063343108e-06
1,14	-0.0002371823425427414	0.0006570285939670497	0.7181076754568668	-0.0028162367627726738	0.002341872077687191
1,15	-0.0018540076330519177	0.0006570524109693079	0.004780084084489318	-0.004433155542888718	0.0007251402767848819
2,3	-0.010954457332399579	0.0006559158604583171	2.4787250867859806e-62	-0.013529143905779945	-0.008379770759019214
2,4	-0.004635296570793129	0.0006563690377731303	1.6768962567423941e-12	-0.007211762014937489	-0.002058831126648769
2,5	0.003640593493741417	0.0006562073643904303	2.915259542424626e-08	0.0010647626710672863	0.006216424316415547
2,6	-8.688376381787294e-05	0.0006558901364976469	0.8946158607961361	-0.0026614693621492343	0.0024877018345134884
2,7	0.0005049104570316806	0.000656058304373393	0.44153609049593723	-0.0020703352558019508	0.003080156169865312
2,8	0.0011217048411124551	0.0006563974797215808	0.0874835174024031	-0.0014548722470814099	0.00369828192930632
2,9	-0.001193909073241177	0.000655916313292259	0.06873622560156993	-0.0037685974241444533	0.0013807792776620994
2,10	-0.0004452766158334516	0.0006856033793419596	0.5160417274740036	-0.0031364965144078144	0.0022459432827409112
2,11	-0.0013329783507452266	0.000685748836691024	0.051925510060536674	-0.004024769217497389	0.001358812516006936
2,12	-0.0001523364361130028	0.0006824537705457759	0.8233668390384158	-0.002831193079020292	0.0025265202067942865
2,13	0.0024228352421550303	0.0006853628022050616	0.00040821875267070486	-0.0002674403116312671	0.005113110795941327
2,14	0.0017058784640304157	0.0006570529482753091	0.00942917960391242	-0.0008732715549100516	0.0042850284829708835
2,15	0.00025366994005719505	0.0006570513564839491	0.6994451943587712	-0.002325473830575998	0.002832813710690388
3,4	-0.0028273714821101005	0.0006564345465239798	1.658900355875425e-05	-0.005404094069756271	-0.00025064889446393
3,5	0.0020054376903561634	0.0006562187080155687	0.002244718719363844	-0.0005704376597964107	0.004581313040508737
3,6	-0.0007946030008630228	0.0006558919473033695	0.22571934831401652	-0.0033691957072054294	0.0017799897054793837
3,7	0.001743018630952893	0.0006560398430928111	0.007890977470012717	-0.0008321546152518506	0.004318191877157637
3,8	-0.0018055888924480845	0.0006564452557058545	0.005953031764455445	-0.004382353517173165	0.0007711757322769958
3,9	0.0008647662908682387	0.000655929511499277	0.18738562845213644	-0.001709973867360414	0.0034395064490968913
3,10	0.0024377013919610023	0.0006857011604335581	0.00037849401646053085	-0.0002539023297206313	0.005129305113642636
3,11	0.0032375491517441374	0.0006858620494263421	2.364415663119649e-06	0.0005453138875819844	0.005929784415906291
3,12	-0.0006260694763934906	0.0006825528640114276	0.3590207257131981	-0.003305315093910031	0.0020531761411230498
3,13	-0.0012258138261510426	0.0006854635270907883	0.07373793019537278	-0.0039164847584096715	0.0014648571061075858
3,14	0.0009405418794486576	0.0006570812692559346	0.15232796188051986	-0.0016387193087026145	0.0035198030675999297
3,15	-0.001363098715828813	0.0006570745715922587	0.0380418243422193	-0.003942333613436162	0.0012161361817785358
4,5	0.0015555335371424533	0.0006568400784391248	0.01788086493797127	-0.0010227808973242397	0.004133847971609147
4,6	-0.0022852087165949036	0.0006563979997801017	0.0004994447440744609	-0.004861787846190375	0.00029137041300056777
4,7	0.005902677850799204	0.0006565621866137726	2.6083846276666437e-19	0.0033254542336075906	0.008479901467990818
4,8	0.003414664899552177	0.0006571806896825118	2.0504076050232814e-07	0.0008350134533619408	0.005994316345742413
4,9	-0.0014498840887539211	0.0006564265005130377	0.027199407817531607	-0.004026575093147435	0.001126806915639593
4,10	-0.002389146185833503	0.0006867650741058147	0.0005043079783764406	-0.005084926120368536	0.0003066337487015302
4,11	-0.0026485118324890145	0.0006869172214101691	0.00011566557629405951	-0.0053448889954878075	4.7865330509778634e-05
4,12	-0.0004548954536477273	0.0006832506987663554	0.5055561387874128	-0.003136880303255248	0.0022270893959597934
4,13	0.007304477666407731	0.00068663928859199	2.2119627476414032e-26	0.004609191481594414	0.009999763851221049
4,14	-0.007753828547739212	0.0006580530965701515	5.627130850408535e-32	-0.010336904479348296	-0.0051707526161301285
4,15	-0.0021311692059232737	0.0006580448753574883	0.0012023350851097696	-0.0047142128665550315	0.0004518744547084841
5,6	0.0023872507588661024	0.0006562123787502535	0.00027530885610636813	-0.00018859974682789273	0.004963101264560097
5,7	-0.010506323292911464	0.0006563902238044532	2.0092827537994968e-57	-0.01308287189923207	-0.007929774686590858
5,8	0.007921873636752626	0.0006568604314089911	2.0505351001181338e-33	0.005343479310151282	0.01050026796335397
5,9	7.608424318287371e-05	0.0006562680148575876	0.9077050673542825	-0.00249998465262361	0.0026521531389893573
5,10	0.008012230033437033	0.0006870807005268396	2.3524180943129656e-31	0.005315211160865268	0.010709248906008797
